"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"09000","Connecticut state total","1","CA5N 1/","10","...","Personal income (thousands of dollars)",155411804,155702576,158426538,166799800,176139627,190614991,204296045,217101744,215234464,222404940,229211506,233710888,230614799,239069549,244940968,247886635
"09000","Connecticut state total","1","CA5N 1/","20","...","Population (persons) 2/",3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579899,3589893,3593795,3596003,3591873,3584730,3576452
"09000","Connecticut state total","1","CA5N 1/","30","...","Per capita personal income (dollars)",45272,45017,45468,47710,50226,54191,57919,61232,60428,62126,63849,65032,64131,66558,68329,69311
"09000","Connecticut state total","1","CA5N 1/","35","...","Earnings by place of work",117618910,118339582,119655802,124272082,129610041,136112992,143317519,152435704,153795727,156297304,158317960,156192927,155343894,159524938,162585354,163607936
"09000","Connecticut state total","1","CA5N 1/","36","...","  Less: Contributions for government social insurance 3/",11047428,11520436,11764545,12358328,12782299,13236811,13838601,14289494,13927476,14024791,13002376,13333705,15454178,15943814,16407868,16697004
"09000","Connecticut state total","1","CA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",5741677,5874435,5997082,6308812,6601577,6963407,7296183,7534646,7305130,7356564,6013172,6120443,8122502,8429979,8658849,8856343
"09000","Connecticut state total","1","CA5N 1/","38","...","    Employer contributions for government social insurance",5305751,5646001,5767463,6049516,6180722,6273404,6542418,6754848,6622346,6668227,6989204,7213262,7331676,7513835,7749019,7840661
"09000","Connecticut state total","1","CA5N 1/","42","...","  Plus: Adjustment for residence 4/",4788855,4916428,5430403,6115804,6751949,7719988,8898326,9737699,9198888,11261423,11709612,13518623,12662206,13086460,13373730,14279495
"09000","Connecticut state total","1","CA5N 1/","45","...","  Equals: Net earnings by place of residence",111360337,111735574,113321660,118029558,123579691,130596169,138377244,147883909,149067139,153533936,157025196,156377845,152551922,156667584,159551216,161190427
"09000","Connecticut state total","1","CA5N 1/","46","...","  Plus: Dividends, interest, and rent 5/",28210665,26964915,27782182,30398285,33613089,39786121,44463066,44650263,38927922,39824720,43030842,47804030,48198709,51726413,53602213,53958211
"09000","Connecticut state total","1","CA5N 1/","47","...","  Plus: Personal current transfer receipts",15840802,17002087,17322696,18371957,18946847,20232701,21455735,24567572,27239403,29046284,29155468,29529013,29864168,30675552,31787539,32737997
"09000","Connecticut state total","1","CA5N 1/","50","...","  Wages and salaries",80744831,79836332,81440706,85981990,89732775,94442932,100659186,101501573,96206697,97848445,101598704,104278374,105486854,109042429,112426318,113106402
"09000","Connecticut state total","1","CA5N 1/","60","...","  Supplements to wages and salaries",16750261,17204224,18422471,20209891,21031495,20980629,22040661,22848690,22504357,23042527,23624455,23667592,23852743,24267515,25128564,25202585
"09000","Connecticut state total","1","CA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 6/",11444510,11558223,12655008,14160375,14850773,14707225,15498243,16093842,15882011,16374300,16635251,16454330,16521067,16753680,17379545,17361924
"09000","Connecticut state total","1","CA5N 1/","62","...","    Employer contributions for government social insurance",5305751,5646001,5767463,6049516,6180722,6273404,6542418,6754848,6622346,6668227,6989204,7213262,7331676,7513835,7749019,7840661
"09000","Connecticut state total","1","CA5N 1/","70","...","  Proprietors' income 7/",20123818,21299026,19792625,18080201,18845771,20689431,20617672,28085441,35084673,35406332,33094801,28246961,26004297,26214994,25030472,25298949
"09000","Connecticut state total","1","CA5N 1/","71","...","    Farm proprietors' income",59405,13243,31872,46409,68052,37418,54573,753,-3767,2387,4641,-2111,15905,-25056,-4489,-20376
"09000","Connecticut state total","1","CA5N 1/","72","...","    Nonfarm proprietors' income",20064413,21285783,19760753,18033792,18777719,20652013,20563099,28084688,35088440,35403945,33090160,28249072,25988392,26240050,25034961,25319325
"09000","Connecticut state total","1","CA5N 1/","81","111-112","  Farm earnings",199998,189071,189325,199067,190433,173427,214421,153342,141314,139725,124468,172250,192579,163653,153042,161003
"09000","Connecticut state total","1","CA5N 1/","82","...","  Nonfarm earnings",117418912,118150511,119466477,124073015,129419608,135939565,143103098,152282362,153654413,156157579,158193492,156020677,155151315,159361285,162432312,163446933
"09000","Connecticut state total","1","CA5N 1/","90","113-814","    Private nonfarm earnings",102895484,102887243,103601848,107335685,111923887,118219130,124396453,132665456,133872114,136106991,137684848,135730338,134453876,138023868,140178333,141389966
"09000","Connecticut state total","1","CA5N 1/","100","113-115","      Forestry, fishing, and related activities",74090,71266,70366,70970,68634,80851,75499,72116,67938,76269,60262,70896,66220,88792,100511,118276
"09000","Connecticut state total","1","CA5N 1/","101","113","        Forestry and logging",13396,12972,13266,13371,12553,14570,14624,16057,13659,14479,8002,10356,"(D)",21187,23052,23209
"09000","Connecticut state total","1","CA5N 1/","102","114","        Fishing, hunting and trapping",10264,9580,7720,6194,7257,10981,10255,8827,8283,10028,10941,12471,"(D)",11530,13825,17588
"09000","Connecticut state total","1","CA5N 1/","103","115","        Support activities for agriculture and forestry",50430,48714,49380,51405,48824,55300,50620,47232,45996,51762,41319,48069,42631,56075,63634,77479
"09000","Connecticut state total","1","CA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",180717,188706,170679,102926,150784,166804,132695,161308,55757,41519,63000,45238,33919,19640,96868,284782
"09000","Connecticut state total","1","CA5N 1/","201","211","        Oil and gas extraction",63554,65295,59639,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",15443,3195,4234,2856,78118,244063
"09000","Connecticut state total","1","CA5N 1/","202","212","        Mining (except oil and gas)","(D)",108888,109876,84114,107690,88340,74404,48569,38063,35475,35091,33308,22083,6533,-2717,-4290
"09000","Connecticut state total","1","CA5N 1/","203","213","        Support activities for mining","(D)",14523,1164,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",12466,8735,7602,10251,21467,45009
"09000","Connecticut state total","1","CA5N 1/","300","22","      Utilities",1001703,933961,1001337,1162497,1409269,1524757,1703864,2846636,2540019,1972593,1390490,2124171,2590135,3316118,2257659,1788929
"09000","Connecticut state total","1","CA5N 1/","400","23","      Construction",7234968,7361323,7414968,7955649,8201801,8738527,8589867,8274383,7596957,7141865,7240595,7671677,7622342,7927080,8425844,8826506
