"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11000","District of Columbia state total","2","CA5N 1/","10","...","Personal income (thousands of dollars)",25709919,26107920,26408223,28989462,30551489,32542965,34651082,36034466,35532577,37436702,40811859,42309871,43195599,46157065,49671007,51842801
"11000","District of Columbia state total","2","CA5N 1/","20","...","Population (persons) 2/",574504,573158,568502,567754,567136,570681,574404,580236,592228,605183,620477,635327,649165,659005,670377,681170
"11000","District of Columbia state total","2","CA5N 1/","30","...","Per capita personal income (dollars)",44752,45551,46452,51060,53870,57025,60325,62103,59998,61860,65775,66595,66540,70041,74094,76108
"11000","District of Columbia state total","2","CA5N 1/","35","...","Earnings by place of work",49825291,52526944,54788430,59536269,62618259,65874580,69192185,71848304,73131444,77342177,80854862,81735567,83094467,87229169,91713980,95214127
"11000","District of Columbia state total","2","CA5N 1/","36","...","  Less: Contributions for government social insurance 3/",4922142,5229638,5446058,5815123,6150247,6514951,6869528,7398502,7623028,8050386,7373591,7624051,8880167,9316138,9724892,10100059
"11000","District of Columbia state total","2","CA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",2343655,2489968,2603631,2783908,2954755,3152521,3341714,3595116,3681789,3886720,3034756,3151512,4299279,4517875,4743556,4954424
"11000","District of Columbia state total","2","CA5N 1/","38","...","    Employer contributions for government social insurance",2578487,2739670,2842427,3031215,3195492,3362430,3527814,3803386,3941239,4163666,4338835,4472539,4580888,4798263,4981336,5145635
"11000","District of Columbia state total","2","CA5N 1/","42","...","  Plus: Adjustment for residence 4/",-26898068,-29024022,-30977106,-33187473,-35222480,-37095348,-38723517,-40345472,-41207128,-43659449,-45947050,-45797607,-45382870,-46586908,-47903464,-49422205
"11000","District of Columbia state total","2","CA5N 1/","45","...","  Equals: Net earnings by place of residence",18005081,18273284,18365266,20533673,21245532,22264281,23599140,24104330,24301288,25632342,27534221,28313909,28831430,31326123,34085624,35691863
"11000","District of Columbia state total","2","CA5N 1/","46","...","  Plus: Dividends, interest, and rent 5/",4790076,4628161,4781602,5161300,5722324,6629330,7151256,7627387,6455789,6348958,7482357,8286423,8348742,8886150,9377450,9557084
"11000","District of Columbia state total","2","CA5N 1/","47","...","  Plus: Personal current transfer receipts",2914762,3206475,3261355,3294489,3583633,3649354,3900686,4302749,4775500,5455402,5795281,5709539,6015427,5944792,6207933,6593854
"11000","District of Columbia state total","2","CA5N 1/","50","...","  Wages and salaries",37606349,39588333,41336514,44190006,46632925,49269386,51993585,54335454,55127553,57925900,59872323,61194223,62240415,64680012,67513670,69752657
"11000","District of Columbia state total","2","CA5N 1/","60","...","  Supplements to wages and salaries",8838219,9460715,10241935,10940540,11646933,12370908,12831292,13615396,14144738,15413083,16526628,16376599,16540051,17395061,18081322,18744825
"11000","District of Columbia state total","2","CA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 6/",6259732,6721045,7399508,7909325,8451441,9008478,9303478,9812010,10203499,11249417,12187793,11904060,11959163,12596798,13099986,13599190
"11000","District of Columbia state total","2","CA5N 1/","62","...","    Employer contributions for government social insurance",2578487,2739670,2842427,3031215,3195492,3362430,3527814,3803386,3941239,4163666,4338835,4472539,4580888,4798263,4981336,5145635
"11000","District of Columbia state total","2","CA5N 1/","70","...","  Proprietors' income 7/",3380723,3477896,3209981,4405723,4338401,4234286,4367308,3897454,3859153,4003194,4455911,4164745,4314001,5154096,6118988,6716645
"11000","District of Columbia state total","2","CA5N 1/","71","...","    Farm proprietors' income",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia state total","2","CA5N 1/","72","...","    Nonfarm proprietors' income",3380723,3477896,3209981,4405723,4338401,4234286,4367308,3897454,3859153,4003194,4455911,4164745,4314001,5154096,6118988,6716645
"11000","District of Columbia state total","2","CA5N 1/","81","111-112","  Farm earnings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia state total","2","CA5N 1/","82","...","  Nonfarm earnings",49825291,52526944,54788430,59536269,62618259,65874580,69192185,71848304,73131444,77342177,80854862,81735567,83094467,87229169,91713980,95214127
"11000","District of Columbia state total","2","CA5N 1/","90","113-814","    Private nonfarm earnings",30555256,31586378,32556651,35902902,37516910,39421620,42033708,43104631,42421475,43857932,46608240,47657588,49104690,52425869,55897209,58002495
"11000","District of Columbia state total","2","CA5N 1/","100","113-115","      Forestry, fishing, and related activities","(D)","(D)",586,744,724,725,221,"(L)",85,456,556,940,958,906,1061,1371
"11000","District of Columbia state total","2","CA5N 1/","101","113","        Forestry and logging","(D)","(D)",108,355,559,473,188,58,81,258,269,355,313,199,394,822
