"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"49000","Utah state total","7","CA5N 1/","10","...","Personal income (thousands of dollars)",56628923,58314909,60553026,64580222,70680942,78678689,85634720,90362956,86110566,87931071,94918680,101508754,104664413,110863745,118724635,124871199
"49000","Utah state total","7","CA5N 1/","20","...","Population (persons) 2/",2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775326,2816124,2855782,2902663,2941836,2990632,3051217
"49000","Utah state total","7","CA5N 1/","30","...","Per capita personal income (dollars)",24797,25084,25657,26891,28759,31154,32965,33932,31619,31683,33705,35545,36058,37685,39699,40925
"49000","Utah state total","7","CA5N 1/","35","...","Earnings by place of work",45713580,46716582,48407466,52179322,56337967,62977202,67593567,69501203,66216298,67051988,71245359,76389208,79929962,84338036,89743654,95381753
"49000","Utah state total","7","CA5N 1/","36","...","  Less: Contributions for government social insurance 3/",5291643,5419849,5648971,6124126,6633964,7284317,7832134,8022573,7769498,7872312,7476003,7869800,9305894,9816346,10288445,10866022
"49000","Utah state total","7","CA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",2636880,2694630,2769662,2975951,3218206,3573802,3914234,4013050,3927903,4004508,3270028,3439925,4664743,4948743,5238576,5593002
"49000","Utah state total","7","CA5N 1/","38","...","    Employer contributions for government social insurance",2654763,2725219,2879309,3148175,3415758,3710515,3917900,4009523,3841595,3867804,4205975,4429875,4641151,4867603,5049869,5273020
"49000","Utah state total","7","CA5N 1/","42","...","  Plus: Adjustment for residence 4/",8977,3806,9956,26838,-9182,29251,51095,40927,6354,-11003,-25706,-33406,-49665,-51570,-69431,-103985
"49000","Utah state total","7","CA5N 1/","45","...","  Equals: Net earnings by place of residence",40430914,41300539,42768451,46082034,49694821,55722136,59812528,61519557,58453154,59168673,63743650,68486002,70574403,74470120,79385778,84411746
"49000","Utah state total","7","CA5N 1/","46","...","  Plus: Dividends, interest, and rent 5/",10171350,10422440,10756681,11062160,12892278,14138786,16227729,17617994,15243773,14991649,16924658,18867874,19450745,21303007,23353131,23713931
"49000","Utah state total","7","CA5N 1/","47","...","  Plus: Personal current transfer receipts",6026659,6591930,7027894,7436028,8093843,8817767,9594463,11225405,12413639,13770749,14250372,14154878,14639265,15090618,15985726,16745522
"49000","Utah state total","7","CA5N 1/","50","...","  Wages and salaries",34266548,34855773,35698404,38118249,40878126,45076805,49191003,50575794,48890584,49652799,52007828,55111673,57373060,60591619,64645373,68297905
"49000","Utah state total","7","CA5N 1/","60","...","  Supplements to wages and salaries",7832101,8135416,8670849,9577861,10431186,11608758,12328654,12776969,12462261,12566827,13614935,13802923,14831433,15083335,15698718,17085089
"49000","Utah state total","7","CA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 6/",5177338,5410197,5791540,6429686,7015428,7898243,8410754,8767446,8620666,8699023,9408960,9373048,10190282,10215732,10648849,11812069
"49000","Utah state total","7","CA5N 1/","62","...","    Employer contributions for government social insurance",2654763,2725219,2879309,3148175,3415758,3710515,3917900,4009523,3841595,3867804,4205975,4429875,4641151,4867603,5049869,5273020
"49000","Utah state total","7","CA5N 1/","70","...","  Proprietors' income 7/",3614931,3725393,4038213,4483212,5028655,6291639,6073910,6148440,4863453,4832362,5622596,7474612,7725469,8663082,9399563,9998759
"49000","Utah state total","7","CA5N 1/","71","...","    Farm proprietors' income",191845,59383,87447,164044,108244,-12354,-5738,16202,-108225,13000,149659,75986,175304,301288,283357,-45603
"49000","Utah state total","7","CA5N 1/","72","...","    Nonfarm proprietors' income",3423086,3666010,3950766,4319168,4920411,6303993,6079648,6132238,4971678,4819362,5472937,7398626,7550165,8361794,9116206,10044362
"49000","Utah state total","7","CA5N 1/","81","111-112","  Farm earnings",317352,200984,217139,306572,270499,147391,183160,200803,92713,188757,321705,276413,395869,514635,465109,168731
"49000","Utah state total","7","CA5N 1/","82","...","  Nonfarm earnings",45396228,46515598,48190327,51872750,56067468,62829811,67410407,69300400,66123585,66863231,70923654,76112795,79534093,83823401,89278545,95213022
"49000","Utah state total","7","CA5N 1/","90","113-814","    Private nonfarm earnings",36588518,37096941,38252392,41272536,44884031,51089427,55077213,56379951,52744939,52897596,56583016,61814772,65182044,68952391,73985726,79176886
"49000","Utah state total","7","CA5N 1/","100","113-115","      Forestry, fishing, and related activities",85890,79406,68752,42002,46453,42413,52368,45096,45254,46766,45517,52249,67890,71188,73334,81058
"49000","Utah state total","7","CA5N 1/","101","113","        Forestry and logging",2370,1998,10396,14174,17574,1708,2427,2984,2620,4092,2114,3517,"(D)",3344,"(D)",4191
"49000","Utah state total","7","CA5N 1/","102","114","        Fishing, hunting and trapping",8140,4528,4382,2268,3456,6428,9623,9402,8185,7894,8354,10184,"(D)",16072,"(D)",22878
"49000","Utah state total","7","CA5N 1/","103","115","        Support activities for agriculture and forestry",75380,72880,53974,25560,25423,34277,40318,32710,34449,34780,35049,38548,50809,51772,51315,53989
"49000","Utah state total","7","CA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",462426,423788,412890,452804,531341,699263,751567,817627,552957,678925,1039754,1134629,1063662,1049470,919572,743532
