"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"56000","Wyoming state total","7","CA5N 1/","10","...","Personal income (thousands of dollars)",15176559,15708575,16746950,17805527,19656998,22583362,23918986,26505381,24381004,25656916,28092250,30434827,30717840,32887556,33010402,32270465
"56000","Wyoming state total","7","CA5N 1/","20","...","Population (persons) 2/",494657,500017,503453,509106,514157,522667,534876,546043,559851,564513,567725,576765,582684,583642,586555,585501
"56000","Wyoming state total","7","CA5N 1/","30","...","Per capita personal income (dollars)",30681,31416,33264,34974,38232,43208,44719,48541,43549,45450,49482,52768,52718,56349,56278,55116
"56000","Wyoming state total","7","CA5N 1/","35","...","Earnings by place of work",10559868,11017117,11586741,12071397,13053449,15042398,16300348,18364991,17567683,18328084,19437837,20316543,20961235,22151313,21818888,20814632
"56000","Wyoming state total","7","CA5N 1/","36","...","  Less: Contributions for government social insurance 3/",1202040,1226496,1302756,1396252,1508226,1912204,2111905,2242254,2173086,2216520,2101509,2220879,2505116,2665147,2628419,2544589
"56000","Wyoming state total","7","CA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",617778,637248,676015,724120,780011,886807,961235,1025249,1003836,1024771,844381,875349,1152844,1223988,1239026,1205349
"56000","Wyoming state total","7","CA5N 1/","38","...","    Employer contributions for government social insurance",584262,589248,626741,672132,728215,1025397,1150670,1217005,1169250,1191749,1257128,1345530,1352272,1441159,1389393,1339240
"56000","Wyoming state total","7","CA5N 1/","42","...","  Plus: Adjustment for residence 4/",10194,3090,-18411,-43660,-79625,-132035,-153325,-218321,-193067,-197137,-202657,-216624,-200989,-206474,-201785,-192511
"56000","Wyoming state total","7","CA5N 1/","45","...","  Equals: Net earnings by place of residence",9368022,9793711,10265574,10631485,11465598,12998159,14035118,15904416,15201530,15914427,17133671,17879040,18255130,19279692,18988684,18077532
"56000","Wyoming state total","7","CA5N 1/","46","...","  Plus: Dividends, interest, and rent 5/",3955791,3931134,4338020,4906989,5804166,7052266,7193692,7472293,5798693,6095603,7292218,8892330,8684488,9698799,9875572,9886126
"56000","Wyoming state total","7","CA5N 1/","47","...","  Plus: Personal current transfer receipts",1852746,1983730,2143356,2267053,2387234,2532937,2690176,3128672,3380781,3646886,3666361,3663457,3778222,3909065,4146146,4306807
"56000","Wyoming state total","7","CA5N 1/","50","...","  Wages and salaries",7330442,7691212,8035468,8574517,9335747,10720071,11884560,12937872,12194732,12371704,12941525,13534796,13728668,14402424,14268354,13443927
"56000","Wyoming state total","7","CA5N 1/","60","...","  Supplements to wages and salaries",1675698,1769167,1932105,2074646,2230858,2748729,3050426,3302300,3121162,3241994,3314883,3540064,3827326,3993716,3978988,3951335
"56000","Wyoming state total","7","CA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 6/",1091436,1179919,1305364,1402514,1502643,1723332,1899756,2085295,1951912,2050245,2057755,2194534,2475054,2552557,2589595,2612095
"56000","Wyoming state total","7","CA5N 1/","62","...","    Employer contributions for government social insurance",584262,589248,626741,672132,728215,1025397,1150670,1217005,1169250,1191749,1257128,1345530,1352272,1441159,1389393,1339240
"56000","Wyoming state total","7","CA5N 1/","70","...","  Proprietors' income 7/",1553728,1556738,1619168,1422234,1486844,1573598,1365362,2124819,2251789,2714386,3181429,3241683,3405241,3755173,3571546,3419370
"56000","Wyoming state total","7","CA5N 1/","71","...","    Farm proprietors' income",104300,2387,94853,84128,123785,-7761,-82292,-51173,-97531,-33777,198162,-53281,25713,158241,5912,-88289
"56000","Wyoming state total","7","CA5N 1/","72","...","    Nonfarm proprietors' income",1449428,1554351,1524315,1338106,1363059,1581359,1447654,2175992,2349320,2748163,2983267,3294964,3379528,3596932,3565634,3507659
"56000","Wyoming state total","7","CA5N 1/","81","111-112","  Farm earnings",191880,102054,184121,180924,232118,96910,39916,67762,32062,81340,312454,95456,191263,318787,143088,73185
"56000","Wyoming state total","7","CA5N 1/","82","...","  Nonfarm earnings",10367988,10915063,11402620,11890473,12821331,14945488,16260432,18297229,17535621,18246744,19125383,20221087,20769972,21832526,21675800,20741447
"56000","Wyoming state total","7","CA5N 1/","90","113-814","    Private nonfarm earnings",7902580,8244172,8498506,8819738,9566353,11472615,12409764,14119287,13175251,13722349,14546304,15478609,15760978,16655500,16392272,15348420
"56000","Wyoming state total","7","CA5N 1/","100","113-115","      Forestry, fishing, and related activities",49099,45372,48877,42444,34768,42263,33791,28888,61957,101321,71997,66966,80988,90986,76129,89873
"56000","Wyoming state total","7","CA5N 1/","101","113","        Forestry and logging",6682,5454,6172,10150,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming state total","7","CA5N 1/","102","114","        Fishing, hunting and trapping",74,"(L)","(L)",140,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming state total","7","CA5N 1/","103","115","        Support activities for agriculture and forestry",42343,39883,42698,32154,24036,25639,21089,18288,24872,35784,34628,37452,31217,33229,35503,44824
"56000","Wyoming state total","7","CA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1225505,1209938,1301429,1532201,1848914,2521993,2612518,3376066,2465564,2823091,3497728,3555660,3316584,3428584,3058928,2388793
"56000","Wyoming state total","7","CA5N 1/","201","211","        Oil and gas extraction",297934,281151,313208,350152,464613,685485,676251,1174761,627025,766124,925313,1010483,986494,958998,853044,661407
"56000","Wyoming state total","7","CA5N 1/","202","212","        Mining (except oil and gas)",492711,520270,544078,619697,667351,799366,848688,925506,923747,1110634,1335147,1297706,1132189,1162102,1223118,1073904
"56000","Wyoming state total","7","CA5N 1/","203","213","        Support activities for mining",434860,408517,444143,562352,716950,1037142,1087579,1275799,914792,946333,1237268,1247471,1197901,1307484,982766,653482
"56000","Wyoming state total","7","CA5N 1/","300","22","      Utilities","(D)","(D)",193849,203907,213663,244446,260362,283374,271317,282754,294931,281140,294036,303819,316722,328737
"56000","Wyoming state total","7","CA5N 1/","400","23","      Construction",1039026,"(D)",1103387,1092939,1221585,1557002,1820623,2031619,1764127,1768070,1678255,1842236,1866918,2043879,1917177,1754956
"56000","Wyoming state total","7","CA5N 1/","401","236","        Construction of buildings",238946,"(D)",221605,218354,236412,284155,311222,368249,406735,354824,358936,452632,427041,408747,364645,348521
"56000","Wyoming state total","7","CA5N 1/","402","237","        Heavy and civil engineering construction",269038,276295,313244,277593,326129,466363,625400,685989,503881,586848,547458,527557,483664,582427,494433,412657
