"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"09000","Connecticut state total","1","CA5 1/","10","...","Personal income (thousands of dollars)",14693141,15678607,16511886,17800682,19365980,21132528,22706406,24501978,27001855,30063404,33793836,38457972,43173687,46616812,49858707,55856174,59950829,64560716,70594722,77854455,84525768,86968737,87599501,94263265,97514376,100067779,105446951,110588370,117944101,127447466,134862911,147686418
"09000","Connecticut state total","1","CA5 1/","20","...","Population (persons) 2/",3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777
"09000","Connecticut state total","1","CA5 1/","30","...","Per capita personal income (dollars)",4898,5160,5393,5799,6310,6871,7361,7940,8742,9714,10902,12353,13799,14851,15766,17565,18728,20027,21740,23794,25743,26418,26522,28558,29468,30176,31722,33143,35214,37870,39825,43287
"09000","Connecticut state total","1","CA5 1/","35","...","  Earnings by place of work",11238369,11829721,12242562,13316252,14746709,15952002,16602626,18067523,20104348,22636053,25519246,28367317,31071300,33140145,35753114,40247736,43826059,47612607,52909556,58492086,61694602,63555603,64416142,67839832,70540173,72852479,76136184,79631108,86307225,93146953,100405280,110362335
"09000","Connecticut state total","1","CA5 1/","36","...","  Less: Contributions for government social insurance 3/",752832,784499,840730,969494,1235632,1396630,1423639,1578169,1778534,2061209,2420825,2679769,3155253,3430840,3736779,4305825,4742250,5165316,5653387,6356152,6675990,6798005,7010822,7251014,7515451,7872709,8268741,8622140,9145799,9592192,10053325,10679856
"09000","Connecticut state total","1","CA5 1/","37","...","    Employee and self-employed contributions for government social insurance",362126,380392,408502,461270,587295,668653,687747,739195,817327,934088,1111333,1260740,1502784,1647400,1773999,1995838,2273303,2494995,2771042,3129011,3342379,3413908,3553564,3664566,3786179,3979182,4208496,4381383,4675829,4919953,5207874,5518504
"09000","Connecticut state total","1","CA5 1/","38","...","    Employer contributions for government social insurance",390706,404107,432228,508224,648337,727977,735892,838974,961207,1127121,1309492,1419029,1652469,1783440,1962780,2309987,2468947,2670321,2882345,3227141,3333611,3384097,3457258,3586448,3729272,3893527,4060245,4240757,4469970,4672239,4845451,5161352
"09000","Connecticut state total","1","CA5 1/","42","...","  Plus: Adjustment for residence 4/",729318,723219,754978,799863,810888,845489,936900,1007264,1113702,1274090,1453512,1704762,1901738,2044758,2182620,2344318,2582886,2678947,2828827,3078196,3094760,2750247,2712724,3945645,3353054,3110531,3837172,4548987,4085745,5496339,5378000,5542940
"09000","Connecticut state total","1","CA5 1/","45","...","  Equals: Net earnings by place of residence",11214855,11768441,12156810,13146621,14321965,15400861,16115887,17496618,19439516,21848934,24551933,27392310,29817785,31754063,34198955,38286229,41666695,45126238,50084996,55214130,58113372,59507845,60118044,64534463,66377776,68090301,71704615,75557955,81247171,89051100,95729955,105225419
"09000","Connecticut state total","1","CA5 1/","46","...","  Plus: Dividends, interest, and rent 5/",2530825,2764049,2931496,3148802,3414419,3813395,4044515,4291509,4725580,5290532,5988387,7321114,9035950,10060537,10474547,12149484,12536108,13354397,14225750,15859297,18810227,18960667,17960875,18529323,19453794,19878936,20788882,21727675,23028960,24556238,24962150,27541341
"09000","Connecticut state total","1","CA5 1/","47","...","  Plus: Personal current transfer receipts",947461,1146117,1423580,1505259,1629596,1918272,2546004,2713851,2836759,2923938,3253516,3744548,4319952,4802212,5185205,5420461,5748026,6080081,6283976,6781028,7602169,8500225,9520582,11199479,11682806,12098542,12953454,13302740,13667970,13840128,14170806,14919658
"09000","Connecticut state total","1","CA5 1/","50","...","  Wages and salaries",9056945,9580507,9836242,10652406,11802804,12819275,13184953,14169047,15580560,17496135,19762686,22147341,24267534,26032828,27949151,31253757,34056346,37073889,41055175,45115703,47170117,48671206,48935033,50576294,51894304,53432964,56049223,59094922,64087294,68510384,72496956,78195987
"09000","Connecticut state total","1","CA5 1/","60","...","  Supplements to wages and salaries",1089437,1166973,1250301,1452341,1647671,1839905,2057781,2263823,2633451,3023138,3503717,3961222,4499574,4954931,5438391,6065439,6668649,7341603,8039591,8820493,9561092,9914437,10240671,10960054,11518304,11675104,12004032,12302192,12917404,13641451,14473825,15621706
"09000","Connecticut state total","1","CA5 1/","61","...","    Employer contributions for employee pension and insurance funds 6/",698731,762866,818073,944117,999334,1111928,1321889,1424849,1672244,1896017,2194225,2542193,2847105,3171491,3475611,3755452,4199702,4671282,5157246,5593352,6227481,6530340,6783413,7373606,7789032,7781577,7943787,8061435,8447434,8969212,9628374,10460354
"09000","Connecticut state total","1","CA5 1/","62","...","    Employer contributions for government social insurance",390706,404107,432228,508224,648337,727977,735892,838974,961207,1127121,1309492,1419029,1652469,1783440,1962780,2309987,2468947,2670321,2882345,3227141,3333611,3384097,3457258,3586448,3729272,3893527,4060245,4240757,4469970,4672239,4845451,5161352
