"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"21000","Kentucky state total","5","CA5 1/","10","...","Personal income (thousands of dollars)",9702046,10517373,11444607,12654522,14211061,16007267,17446401,19488702,21868067,24357691,27351774,29770590,33114794,35287385,36629766,40882623,42685414,43905007,46333321,50389911,54151355,57482504,60643068,65371767,67907191,71377080,74798939,79385813,84293663,89291011,93068131,100491384
"21000","Kentucky state total","5","CA5 1/","20","...","Population (persons) 2/",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021
"21000","Kentucky state total","5","CA5 1/","30","...","Per capita personal income (dollars)",3034,3256,3470,3793,4215,4685,5030,5520,6117,6745,7507,8125,9022,9580,9915,11063,11553,11905,12579,13693,14726,15561,16292,17361,17813,18544,19241,20254,21325,22405,23162,24819
"21000","Kentucky state total","5","CA5 1/","35","...","  Earnings by place of work",7934626,8465736,9197559,10234060,11564849,12890906,13615900,15398723,17459899,19580198,21876753,22789066,24885423,25701436,26307618,29878100,31141160,31894662,34226442,37630921,40121419,42426385,44324252,48326332,50450528,53184128,55010703,58100847,61788401,65463845,69505003,74398276
"21000","Kentucky state total","5","CA5 1/","36","...","  Less: Contributions for government social insurance 3/",509229,547013,614611,713437,918858,1060043,1122078,1290588,1451425,1685793,1944370,2058845,2391613,2525652,2653414,3000058,3217940,3452793,3681713,4098338,4407170,4818327,5093474,5519863,5885555,6331031,6634681,6898290,7298839,7748334,8258002,8525179
"21000","Kentucky state total","5","CA5 1/","37","...","    Employee and self-employed contributions for government social insurance",250655,270359,299984,343841,437748,504943,538641,601307,672806,772229,896327,962457,1128063,1199840,1246146,1379999,1526825,1651523,1783448,2003969,2201674,2396554,2547387,2736519,2899614,3133811,3314639,3455821,3670677,3877222,4105948,4299474
"21000","Kentucky state total","5","CA5 1/","38","...","    Employer contributions for government social insurance",258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705
"21000","Kentucky state total","5","CA5 1/","42","...","  Plus: Adjustment for residence 4/",164126,153101,96827,90835,45011,17661,11163,-17176,6405,29395,25688,57157,16312,10039,33118,2452,-4385,21582,4381,-6300,-41834,-34624,-42424,-262849,-253383,-336452,-337053,-319028,-318751,-191294,-275071,-296333
"21000","Kentucky state total","5","CA5 1/","45","...","  Equals: Net earnings by place of residence",7589523,8071824,8679775,9611458,10691002,11848524,12504985,14090959,16014879,17923800,19958071,20787378,22510122,23185823,23687322,26880494,27918835,28463451,30549110,33526283,35672415,37573434,39188354,42543620,44311590,46516645,48038969,50883529,54170811,57524217,60971930,65576764
"21000","Kentucky state total","5","CA5 1/","46","...","  Plus: Dividends, interest, and rent 5/",1168485,1340761,1466569,1601928,1800517,2107360,2357778,2566416,2885547,3256187,3690030,4514761,5565695,6602364,6989292,7773632,8249636,8617362,8727066,9369127,10244228,10898832,11209446,11579892,11893171,12586554,13557771,14520298,15346082,16595802,16359829,18006456
"21000","Kentucky state total","5","CA5 1/","47","...","  Plus: Personal current transfer receipts",944038,1104788,1298263,1441136,1719542,2051383,2583638,2831327,2967641,3177704,3703673,4468451,5038977,5499198,5953152,6228497,6516943,6824194,7057145,7494501,8234712,9010238,10245268,11248255,11702430,12273881,13202199,13981986,14776770,15170992,15736372,16908164
"21000","Kentucky state total","5","CA5 1/","50","...","  Wages and salaries",5904669,6361352,6877175,7531996,8481299,9413537,10033210,11253124,12596042,14271094,16009619,16962353,18390272,19027562,19697048,21528816,22688392,23669855,25404700,27133433,28755797,30824972,32008428,34542519,36024338,38114358,40210708,42333865,45181475,48094952,51148699,53945947
"21000","Kentucky state total","5","CA5 1/","60","...","  Supplements to wages and salaries",786237,870589,999825,1144039,1342494,1558813,1745125,2020988,2307426,2622993,3007745,3192840,3466615,3694870,3978399,4393810,4757967,5181965,5559331,5911845,6499360,7068732,7539320,8645368,9241592,9731573,9777285,9964626,10365253,10817474,11752528,12748853
"21000","Kentucky state total","5","CA5 1/","61","...","    Employer contributions for employee pension and insurance funds 6/",527663,593935,685198,774443,861384,1003713,1161688,1331707,1528807,1709429,1959702,2096452,2203065,2369058,2571131,2773751,3066852,3380695,3661066,3817476,4293864,4646959,4993233,5862024,6255651,6534353,6457243,6522157,6737091,6946362,7600474,8523148
"21000","Kentucky state total","5","CA5 1/","62","...","    Employer contributions for government social insurance",258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705
"21000","Kentucky state total","5","CA5 1/","70","...","  Proprietors' income 7/",1243720,1233795,1320559,1558025,1741056,1918556,1837565,2124611,2556431,2686111,2859389,2633873,3028536,2979004,2632171,3955474,3694801,3042842,3262411,4585643,4866262,4532681,4776504,5138445,5184598,5338197,5022710,5802356,6241673,6551419,6603776,7703476
"21000","Kentucky state total","5","CA5 1/","71","...","    Farm proprietors' income",367878,327474,341427,439041,499950,560609,384655,457007,562182,477470,536116,407776,783814,715243,58358,953094,713431,500804,590793,621391,970244,923084,931971,1118128,919666,983601,514755,954895,949705,795833,553253,1276098
"21000","Kentucky state total","5","CA5 1/","72","...","    Nonfarm proprietors' income",875842,906321,979132,1118984,1241106,1357947,1452910,1667604,1994249,2208641,2323273,2226097,2244722,2263761,2573813,3002380,2981370,2542038,2671618,3964252,3896018,3609597,3844533,4020317,4264932,4354596,4507955,4847461,5291968,5755586,6050523,6427378
"21000","Kentucky state total","5","CA5 1/","81","[01-02]","  Farm earnings",427790,393147,407691,506973,579026,665167,482420,557011,682815,604641,678533,560806,938604,902278,231995,1121264,876321,647983,731456,778473,1141629,1122759,1123411,1308617,1114710,1166405,708446,1137604,1139193,1011397,783974,1492644
"21000","Kentucky state total","5","CA5 1/","82","...","  Nonfarm earnings",7506836,8072589,8789868,9727087,10985823,12225739,13133480,14841712,16777084,18975557,21198220,22228260,23946819,24799158,26075623,28756836,30264839,31246679,33494986,36852448,38979790,41303626,43200841,47017715,49335818,52017723,54302257,56963243,60649208,64452448,68721029,72905632
