"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"49000","Utah state total","7","CA5 1/","10","...","Personal income (thousands of dollars)",3382733,3766826,4218585,4712891,5240231,5862782,6542102,7392847,8357884,9600731,10849284,12172076,13724644,14915627,15955618,17598302,18879636,19816954,20741022,22051776,23700811,25737076,27623517,29924984,32312390,35050599,38230275,41619496,45005385,48123980,50652670,54178312
"49000","Utah state total","7","CA5 1/","20","...","Population (persons) 2/",1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502
"49000","Utah state total","7","CA5 1/","30","...","Per capita personal income (dollars)",3231,3535,3833,4154,4483,4891,5302,5810,6349,7037,7661,8266,9056,9572,10004,10847,11492,11918,12360,13053,13894,14866,15521,16292,17021,17879,18981,20126,21231,22218,22988,24138
"49000","Utah state total","7","CA5 1/","35","...","  Earnings by place of work",2833962,3111862,3452305,3866219,4342914,4837472,5319425,6086596,6930034,7978934,9022656,9942235,11089090,11781535,12526894,13940645,14915209,15619414,16329093,17534837,18768984,20557803,22159293,24141125,26105253,28356507,30638859,33227066,36100168,38755682,41265557,43792598
"49000","Utah state total","7","CA5 1/","36","...","  Less: Contributions for government social insurance 3/",174871,190397,217620,259531,337674,394780,432296,502031,575281,677647,809800,901648,1088487,1176233,1266652,1447832,1577794,1657865,1722548,1935684,2114798,2389860,2619407,2831650,3076954,3387688,3687387,3920277,4201560,4483606,4729402,5045560
"49000","Utah state total","7","CA5 1/","37","...","    Employee and self-employed contributions for government social insurance",86322,93809,106282,125092,162706,189629,206763,234400,267553,310181,376419,421975,514247,559537,597096,669289,750477,794232,831580,939585,1034995,1165491,1277812,1379139,1497828,1649696,1809198,1944150,2100047,2231597,2381051,2531030
"49000","Utah state total","7","CA5 1/","38","...","    Employer contributions for government social insurance",88549,96588,111338,134439,174968,205151,225533,267631,307728,367466,433381,479673,574240,616696,669556,778543,827317,863633,890968,996099,1079803,1224369,1341595,1452511,1579126,1737992,1878189,1976127,2101513,2252009,2348351,2514530
"49000","Utah state total","7","CA5 1/","42","...","  Plus: Adjustment for residence 4/",2253,1481,1438,4223,6800,9560,12666,15562,20497,24996,34083,50689,52946,53069,42887,38828,40347,35207,25367,24074,22036,16861,11490,6535,7115,6961,293,388,-163,-3845,-1375,4838
"49000","Utah state total","7","CA5 1/","45","...","  Equals: Net earnings by place of residence",2661344,2922946,3236123,3610911,4012040,4452252,4899795,5600127,6375250,7326283,8246939,9091276,10053549,10658371,11303129,12531641,13377762,13996756,14631912,15623227,16676222,18184804,19551376,21316010,23035414,24975780,26951765,29307177,31898445,34268231,36534780,38751876
"49000","Utah state total","7","CA5 1/","46","...","  Plus: Dividends, interest, and rent 5/",473491,545360,630018,700110,756543,872792,968864,1060510,1194242,1396745,1603030,1901902,2290569,2670377,2923136,3284190,3566336,3726161,3865095,4084363,4436404,4712135,4935024,5128842,5502376,6185431,7059528,7845803,8463065,9008469,8998954,9927229
