series_id	year	period	value	footnote_codes
LASST020000000000003          	1976	M01	         7.1	          
LASST020000000000003          	1976	M02	         7.1	          
LASST020000000000003          	1976	M03	         7.0	          
LASST020000000000003          	1976	M04	         7.0	          
LASST020000000000003          	1976	M05	         7.0	          
LASST020000000000003          	1976	M06	         7.1	          
LASST020000000000003          	1976	M07	         7.3	          
LASST020000000000003          	1976	M08	         7.6	          
LASST020000000000003          	1976	M09	         7.9	          
LASST020000000000003          	1976	M10	         8.1	          
LASST020000000000003          	1976	M11	         8.4	          
LASST020000000000003          	1976	M12	         8.6	          
LASST020000000000003          	1977	M01	         8.9	          
LASST020000000000003          	1977	M02	         9.2	          
LASST020000000000003          	1977	M03	         9.4	          
LASST020000000000003          	1977	M04	         9.6	          
LASST020000000000003          	1977	M05	         9.8	          
LASST020000000000003          	1977	M06	         9.9	          
LASST020000000000003          	1977	M07	        10.0	          
LASST020000000000003          	1977	M08	        10.0	          
LASST020000000000003          	1977	M09	        10.1	          
LASST020000000000003          	1977	M10	        10.3	          
LASST020000000000003          	1977	M11	        10.5	          
LASST020000000000003          	1977	M12	        10.7	          
LASST020000000000003          	1978	M01	        10.8	          
LASST020000000000003          	1978	M02	        11.0	          
LASST020000000000003          	1978	M03	        11.0	          
LASST020000000000003          	1978	M04	        11.0	          
LASST020000000000003          	1978	M05	        10.9	          
LASST020000000000003          	1978	M06	        10.8	          
LASST020000000000003          	1978	M07	        10.7	          
LASST020000000000003          	1978	M08	        10.6	          
LASST020000000000003          	1978	M09	        10.4	          
LASST020000000000003          	1978	M10	        10.2	          
LASST020000000000003          	1978	M11	        10.1	          
LASST020000000000003          	1978	M12	         9.9	          
LASST020000000000003          	1979	M01	         9.7	          
LASST020000000000003          	1979	M02	         9.5	          
LASST020000000000003          	1979	M03	         9.4	          
LASST020000000000003          	1979	M04	         9.3	          
LASST020000000000003          	1979	M05	         9.2	          
LASST020000000000003          	1979	M06	         9.2	          
LASST020000000000003          	1979	M07	         9.2	          
LASST020000000000003          	1979	M08	         9.2	          
LASST020000000000003          	1979	M09	         9.2	          
LASST020000000000003          	1979	M10	         9.2	          
LASST020000000000003          	1979	M11	         9.1	          
LASST020000000000003          	1979	M12	         9.1	          
LASST020000000000003          	1980	M01	         9.1	          
LASST020000000000003          	1980	M02	         9.2	          
LASST020000000000003          	1980	M03	         9.4	          
LASST020000000000003          	1980	M04	         9.6	          
LASST020000000000003          	1980	M05	         9.8	          
LASST020000000000003          	1980	M06	        10.0	          
LASST020000000000003          	1980	M07	        10.0	          
LASST020000000000003          	1980	M08	        10.0	          
LASST020000000000003          	1980	M09	         9.9	          
LASST020000000000003          	1980	M10	         9.8	          
LASST020000000000003          	1980	M11	         9.6	          
LASST020000000000003          	1980	M12	         9.4	          
LASST020000000000003          	1981	M01	         9.3	          
LASST020000000000003          	1981	M02	         9.1	          
LASST020000000000003          	1981	M03	         9.0	          
LASST020000000000003          	1981	M04	         8.9	          
LASST020000000000003          	1981	M05	         9.0	          
LASST020000000000003          	1981	M06	         9.2	          
LASST020000000000003          	1981	M07	         9.4	          
LASST020000000000003          	1981	M08	         9.6	          
LASST020000000000003          	1981	M09	         9.7	          
LASST020000000000003          	1981	M10	         9.8	          
LASST020000000000003          	1981	M11	         9.8	          
LASST020000000000003          	1981	M12	         9.8	          
LASST020000000000003          	1982	M01	         9.8	          
LASST020000000000003          	1982	M02	         9.8	          
LASST020000000000003          	1982	M03	         9.8	          
LASST020000000000003          	1982	M04	         9.9	          
LASST020000000000003          	1982	M05	         9.9	          
LASST020000000000003          	1982	M06	         9.9	          
LASST020000000000003          	1982	M07	         9.9	          
LASST020000000000003          	1982	M08	         9.9	          
LASST020000000000003          	1982	M09	        10.0	          
LASST020000000000003          	1982	M10	        10.1	          
LASST020000000000003          	1982	M11	        10.2	          
LASST020000000000003          	1982	M12	        10.3	          
LASST020000000000003          	1983	M01	        10.3	          
LASST020000000000003          	1983	M02	        10.2	          
LASST020000000000003          	1983	M03	        10.1	          
LASST020000000000003          	1983	M04	         9.9	          
LASST020000000000003          	1983	M05	         9.8	          
LASST020000000000003          	1983	M06	         9.7	          
LASST020000000000003          	1983	M07	         9.7	          
LASST020000000000003          	1983	M08	         9.7	          
LASST020000000000003          	1983	M09	         9.8	          
LASST020000000000003          	1983	M10	         9.9	          
LASST020000000000003          	1983	M11	        10.0	          
LASST020000000000003          	1983	M12	        10.1	          
LASST020000000000003          	1984	M01	        10.2	          
LASST020000000000003          	1984	M02	        10.2	          
LASST020000000000003          	1984	M03	        10.2	          
LASST020000000000003          	1984	M04	        10.1	          
LASST020000000000003          	1984	M05	        10.0	          
LASST020000000000003          	1984	M06	         9.9	          
LASST020000000000003          	1984	M07	         9.8	          
LASST020000000000003          	1984	M08	         9.7	          
LASST020000000000003          	1984	M09	         9.6	          
LASST020000000000003          	1984	M10	         9.5	          
LASST020000000000003          	1984	M11	         9.5	          
LASST020000000000003          	1984	M12	         9.5	          
LASST020000000000003          	1985	M01	         9.5	          
LASST020000000000003          	1985	M02	         9.5	          
LASST020000000000003          	1985	M03	         9.6	          
LASST020000000000003          	1985	M04	         9.6	          
LASST020000000000003          	1985	M05	         9.7	          
LASST020000000000003          	1985	M06	         9.7	          
LASST020000000000003          	1985	M07	         9.7	          
LASST020000000000003          	1985	M08	         9.7	          
LASST020000000000003          	1985	M09	         9.7	          
LASST020000000000003          	1985	M10	         9.7	          
