FIPS,state,county,year,labor_force,employed,unemployed,urate
"01001",1,1,1990,16908,15813,1095,6.5
"01001",1,1,1991,16928,15777,1151,6.8
"01001",1,1,1992,17656,16500,1156,6.5
"01001",1,1,1993,18234,17139,1095,6
"01001",1,1,1994,18820,17874,946,5
"01001",1,1,1995,19647,18515,1132,5.8
"01001",1,1,1996,20214,19422,792,3.9
"01001",1,1,1997,21098,20269,829,3.9
"01001",1,1,1998,21628,20947,681,3.1
"01001",1,1,1999,22433,21577,856,3.8
"01001",1,1,2000,21720,20846,874,4
"01001",1,1,2001,21955,21055,900,4.1
"01001",1,1,2002,22094,21035,1059,4.8
"01001",1,1,2003,22604,21462,1142,5.1
"01001",1,1,2004,23218,22103,1115,4.8
"01001",1,1,2005,23949,23037,912,3.8
"01001",1,1,2006,24398,23585,813,3.3
"01001",1,1,2007,24383,23577,806,3.3
"01001",1,1,2008,24687,23420,1267,5.1
"01001",1,1,2009,24703,22301,2402,9.7
"01001",1,1,2010,25713,23431,2282,8.9
"01001",1,1,2011,25836,23677,2159,8.4
"01001",1,1,2012,25740,23961,1779,6.9
"01001",1,1,2013,25810,24205,1605,6.2
"01001",1,1,2014,25602,24107,1495,5.8
"01001",1,1,2015,25602,24272,1330,5.2
"01001",1,1,2016,25918,24593,1325,5.1
"01001",1,1,2017,25909,24908,1001,3.9
"01003",1,3,1990,46824,44379,2445,5.2
"01003",1,3,1991,49426,46695,2731,5.5
"01003",1,3,1992,52209,48921,3288,6.3
"01003",1,3,1993,55079,51755,3324,6
"01003",1,3,1994,57891,55071,2820,4.9
"01003",1,3,1995,60820,57883,2937,4.8
"01003",1,3,1996,63829,60981,2848,4.5
"01003",1,3,1997,67150,64799,2351,3.5
"01003",1,3,1998,69285,67354,1931,2.8
"01003",1,3,1999,70912,68556,2356,3.3
"01003",1,3,2000,69533,66971,2562,3.7
"01003",1,3,2001,69161,66195,2966,4.3
"01003",1,3,2002,69169,65691,3478,5
"01003",1,3,2003,72299,68702,3597,5
"01003",1,3,2004,74772,70919,3853,5.2
"01003",1,3,2005,76804,73743,3061,4
"01003",1,3,2006,79711,77147,2564,3.2
"01003",1,3,2007,82659,80099,2560,3.1
"01003",1,3,2008,83223,79372,3851,4.6
"01003",1,3,2009,82451,74403,8048,9.8
"01003",1,3,2010,83459,75120,8339,10
"01003",1,3,2011,85045,77418,7627,9
"01003",1,3,2012,84414,78065,6349,7.5
