series_id	year	period	value	footnote_codes
LASST150000000000003          	1976	M01	        10.1	          
LASST150000000000003          	1976	M02	        10.2	          
LASST150000000000003          	1976	M03	        10.2	          
LASST150000000000003          	1976	M04	        10.1	          
LASST150000000000003          	1976	M05	         9.9	          
LASST150000000000003          	1976	M06	         9.6	          
LASST150000000000003          	1976	M07	         9.3	          
LASST150000000000003          	1976	M08	         9.0	          
LASST150000000000003          	1976	M09	         8.8	          
LASST150000000000003          	1976	M10	         8.6	          
LASST150000000000003          	1976	M11	         8.5	          
LASST150000000000003          	1976	M12	         8.4	          
LASST150000000000003          	1977	M01	         8.3	          
LASST150000000000003          	1977	M02	         8.2	          
LASST150000000000003          	1977	M03	         8.1	          
LASST150000000000003          	1977	M04	         7.9	          
LASST150000000000003          	1977	M05	         7.7	          
LASST150000000000003          	1977	M06	         7.5	          
LASST150000000000003          	1977	M07	         7.5	          
LASST150000000000003          	1977	M08	         7.6	          
LASST150000000000003          	1977	M09	         7.7	          
LASST150000000000003          	1977	M10	         7.8	          
LASST150000000000003          	1977	M11	         7.8	          
LASST150000000000003          	1977	M12	         7.8	          
LASST150000000000003          	1978	M01	         7.6	          
LASST150000000000003          	1978	M02	         7.5	          
LASST150000000000003          	1978	M03	         7.3	          
LASST150000000000003          	1978	M04	         7.2	          
LASST150000000000003          	1978	M05	         7.2	          
LASST150000000000003          	1978	M06	         7.2	          
LASST150000000000003          	1978	M07	         7.2	          
LASST150000000000003          	1978	M08	         7.1	          
LASST150000000000003          	1978	M09	         7.0	          
LASST150000000000003          	1978	M10	         6.8	          
LASST150000000000003          	1978	M11	         6.7	          
LASST150000000000003          	1978	M12	         6.5	          
LASST150000000000003          	1979	M01	         6.5	          
LASST150000000000003          	1979	M02	         6.5	          
LASST150000000000003          	1979	M03	         6.5	          
LASST150000000000003          	1979	M04	         6.5	          
LASST150000000000003          	1979	M05	         6.4	          
LASST150000000000003          	1979	M06	         6.2	          
LASST150000000000003          	1979	M07	         6.1	          
LASST150000000000003          	1979	M08	         5.9	          
LASST150000000000003          	1979	M09	         5.8	          
LASST150000000000003          	1979	M10	         5.7	          
LASST150000000000003          	1979	M11	         5.5	          
LASST150000000000003          	1979	M12	         5.4	          
LASST150000000000003          	1980	M01	         5.2	          
LASST150000000000003          	1980	M02	         5.0	          
LASST150000000000003          	1980	M03	         4.9	          
LASST150000000000003          	1980	M04	         4.8	          
LASST150000000000003          	1980	M05	         4.9	          
LASST150000000000003          	1980	M06	         5.0	          
LASST150000000000003          	1980	M07	         5.0	          
LASST150000000000003          	1980	M08	         5.1	          
LASST150000000000003          	1980	M09	         5.2	          
LASST150000000000003          	1980	M10	         5.2	          
LASST150000000000003          	1980	M11	         5.2	          
LASST150000000000003          	1980	M12	         5.2	          
LASST150000000000003          	1981	M01	         5.2	          
LASST150000000000003          	1981	M02	         5.2	          
LASST150000000000003          	1981	M03	         5.3	          
LASST150000000000003          	1981	M04	         5.3	          
LASST150000000000003          	1981	M05	         5.3	          
LASST150000000000003          	1981	M06	         5.3	          
LASST150000000000003          	1981	M07	         5.3	          
LASST150000000000003          	1981	M08	         5.4	          
LASST150000000000003          	1981	M09	         5.5	          
LASST150000000000003          	1981	M10	         5.6	          
LASST150000000000003          	1981	M11	         5.8	          
LASST150000000000003          	1981	M12	         5.9	          
LASST150000000000003          	1982	M01	         6.1	          
LASST150000000000003          	1982	M02	         6.2	          
LASST150000000000003          	1982	M03	         6.4	          
LASST150000000000003          	1982	M04	         6.5	          
LASST150000000000003          	1982	M05	         6.5	          
LASST150000000000003          	1982	M06	         6.5	          
LASST150000000000003          	1982	M07	         6.4	          
LASST150000000000003          	1982	M08	         6.3	          
LASST150000000000003          	1982	M09	         6.2	          
LASST150000000000003          	1982	M10	         6.2	          
LASST150000000000003          	1982	M11	         6.2	          
LASST150000000000003          	1982	M12	         6.3	          
LASST150000000000003          	1983	M01	         6.4	          
LASST150000000000003          	1983	M02	         6.5	          
LASST150000000000003          	1983	M03	         6.5	          
LASST150000000000003          	1983	M04	         6.5	          
LASST150000000000003          	1983	M05	         6.4	          
LASST150000000000003          	1983	M06	         6.2	          
LASST150000000000003          	1983	M07	         6.1	          
LASST150000000000003          	1983	M08	         6.0	          
LASST150000000000003          	1983	M09	         5.9	          
LASST150000000000003          	1983	M10	         5.9	          
LASST150000000000003          	1983	M11	         5.8	          
LASST150000000000003          	1983	M12	         5.8	          
LASST150000000000003          	1984	M01	         5.7	          
LASST150000000000003          	1984	M02	         5.7	          
LASST150000000000003          	1984	M03	         5.7	          
LASST150000000000003          	1984	M04	         5.6	          
LASST150000000000003          	1984	M05	         5.6	          
LASST150000000000003          	1984	M06	         5.6	          
LASST150000000000003          	1984	M07	         5.6	          
LASST150000000000003          	1984	M08	         5.6	          
LASST150000000000003          	1984	M09	         5.7	          
LASST150000000000003          	1984	M10	         5.8	          
LASST150000000000003          	1984	M11	         5.8	          
LASST150000000000003          	1984	M12	         5.7	          
LASST150000000000003          	1985	M01	         5.6	          
LASST150000000000003          	1985	M02	         5.4	          
LASST150000000000003          	1985	M03	         5.3	          
LASST150000000000003          	1985	M04	         5.3	          
LASST150000000000003          	1985	M05	         5.3	          
LASST150000000000003          	1985	M06	         5.4	          
LASST150000000000003          	1985	M07	         5.4	          
LASST150000000000003          	1985	M08	         5.5	          
LASST150000000000003          	1985	M09	         5.4	          
LASST150000000000003          	1985	M10	         5.4	          
LASST150000000000003          	1985	M11	         5.4	          
LASST150000000000003          	1985	M12	         5.3	          
LASST150000000000003          	1986	M01	         5.3	          
LASST150000000000003          	1986	M02	         5.3	          
LASST150000000000003          	1986	M03	         5.2	          
LASST150000000000003          	1986	M04	         5.2	          
LASST150000000000003          	1986	M05	         5.0	          
LASST150000000000003          	1986	M06	         4.9	          
LASST150000000000003          	1986	M07	         4.8	          
LASST150000000000003          	1986	M08	         4.6	          
LASST150000000000003          	1986	M09	         4.4	          
LASST150000000000003          	1986	M10	         4.3	          
LASST150000000000003          	1986	M11	         4.2	          
LASST150000000000003          	1986	M12	         4.1	          
LASST150000000000003          	1987	M01	         4.0	          
LASST150000000000003          	1987	M02	         4.0	          
LASST150000000000003          	1987	M03	         4.0	          
LASST150000000000003          	1987	M04	         4.0	          
LASST150000000000003          	1987	M05	         4.0	          
LASST150000000000003          	1987	M06	         3.9	          
LASST150000000000003          	1987	M07	         3.9	          
LASST150000000000003          	1987	M08	         3.8	          
LASST150000000000003          	1987	M09	         3.7	          
