series_id	year	period	value	footnote_codes
LASST560000000000003          	1976	M01	         4.1	          
LASST560000000000003          	1976	M02	         4.1	          
LASST560000000000003          	1976	M03	         4.2	          
LASST560000000000003          	1976	M04	         4.1	          
LASST560000000000003          	1976	M05	         4.1	          
LASST560000000000003          	1976	M06	         4.0	          
LASST560000000000003          	1976	M07	         3.9	          
LASST560000000000003          	1976	M08	         3.9	          
LASST560000000000003          	1976	M09	         3.8	          
LASST560000000000003          	1976	M10	         3.8	          
LASST560000000000003          	1976	M11	         3.8	          
LASST560000000000003          	1976	M12	         3.8	          
LASST560000000000003          	1977	M01	         3.8	          
LASST560000000000003          	1977	M02	         3.8	          
LASST560000000000003          	1977	M03	         3.7	          
LASST560000000000003          	1977	M04	         3.6	          
LASST560000000000003          	1977	M05	         3.5	          
LASST560000000000003          	1977	M06	         3.4	          
LASST560000000000003          	1977	M07	         3.3	          
LASST560000000000003          	1977	M08	         3.2	          
LASST560000000000003          	1977	M09	         3.1	          
LASST560000000000003          	1977	M10	         3.1	          
LASST560000000000003          	1977	M11	         3.1	          
LASST560000000000003          	1977	M12	         3.0	          
LASST560000000000003          	1978	M01	         3.0	          
LASST560000000000003          	1978	M02	         2.9	          
LASST560000000000003          	1978	M03	         2.9	          
LASST560000000000003          	1978	M04	         2.9	          
LASST560000000000003          	1978	M05	         2.9	          
LASST560000000000003          	1978	M06	         3.0	          
LASST560000000000003          	1978	M07	         3.1	          
LASST560000000000003          	1978	M08	         3.2	          
LASST560000000000003          	1978	M09	         3.2	          
LASST560000000000003          	1978	M10	         3.1	          
LASST560000000000003          	1978	M11	         3.0	          
LASST560000000000003          	1978	M12	         2.9	          
LASST560000000000003          	1979	M01	         2.7	          
LASST560000000000003          	1979	M02	         2.6	          
LASST560000000000003          	1979	M03	         2.5	          
LASST560000000000003          	1979	M04	         2.5	          
LASST560000000000003          	1979	M05	         2.5	          
LASST560000000000003          	1979	M06	         2.6	          
LASST560000000000003          	1979	M07	         2.7	          
LASST560000000000003          	1979	M08	         2.8	          
LASST560000000000003          	1979	M09	         2.9	          
LASST560000000000003          	1979	M10	         3.0	          
LASST560000000000003          	1979	M11	         3.1	          
LASST560000000000003          	1979	M12	         3.2	          
LASST560000000000003          	1980	M01	         3.3	          
LASST560000000000003          	1980	M02	         3.4	          
LASST560000000000003          	1980	M03	         3.5	          
LASST560000000000003          	1980	M04	         3.5	          
LASST560000000000003          	1980	M05	         3.6	          
LASST560000000000003          	1980	M06	         3.8	          
LASST560000000000003          	1980	M07	         3.9	          
LASST560000000000003          	1980	M08	         4.1	          
LASST560000000000003          	1980	M09	         4.2	          
LASST560000000000003          	1980	M10	         4.3	          
LASST560000000000003          	1980	M11	         4.4	          
LASST560000000000003          	1980	M12	         4.4	          
LASST560000000000003          	1981	M01	         4.4	          
LASST560000000000003          	1981	M02	         4.3	          
LASST560000000000003          	1981	M03	         4.2	          
LASST560000000000003          	1981	M04	         4.1	          
LASST560000000000003          	1981	M05	         4.0	          
LASST560000000000003          	1981	M06	         4.0	          
LASST560000000000003          	1981	M07	         3.9	          
LASST560000000000003          	1981	M08	         3.9	          
LASST560000000000003          	1981	M09	         4.0	          
LASST560000000000003          	1981	M10	         4.0	          
LASST560000000000003          	1981	M11	         4.0	          
LASST560000000000003          	1981	M12	         4.1	          
LASST560000000000003          	1982	M01	         4.2	          
LASST560000000000003          	1982	M02	         4.3	          
LASST560000000000003          	1982	M03	         4.6	          
LASST560000000000003          	1982	M04	         5.0	          
LASST560000000000003          	1982	M05	         5.5	          
LASST560000000000003          	1982	M06	         6.0	          
LASST560000000000003          	1982	M07	         6.5	          
