cbsa,state,county,stabb,cntyname,cbsaname,pop00,allocfactorpop00,pop10,allocfactorpop10,landarea,allocfactorland
10020,22,22113,LA,Vermilion Parish LA,"Abbeville, LA Micropolitan Statistical Area",54011,1,57999,1,1173.199,1
10100,46,46013,SD,Brown SD,"Aberdeen, SD Micropolitan Statistical Area",35455,0.89,36531,0.9,1712.981,0.603
10100,46,46045,SD,Edmunds SD,"Aberdeen, SD Micropolitan Statistical Area",4367,0.11,4071,0.1,1125.956,0.397
10140,53,53027,WA,Grays Harbor WA,"Aberdeen, WA Micropolitan Statistical Area",67179,1,72797,1,1902.027,1
10180,48,48059,TX,Callahan TX,"Abilene, TX Metropolitan Statistical Area",12895,0.08,13544,0.082,899.372,0.328
10180,48,48253,TX,Jones TX,"Abilene, TX Metropolitan Statistical Area",20779,0.13,20202,0.122,928.554,0.338
10180,48,48441,TX,Taylor TX,"Abilene, TX Metropolitan Statistical Area",126516,0.79,131506,0.796,915.552,0.334
10220,40,40123,OK,Pontotoc OK,"Ada, OK Micropolitan Statistical Area",35108,1,37492,1,720.435,1
10300,26,26091,MI,Lenawee MI,"Adrian, MI Micropolitan Statistical Area",98874,1,99892,1,749.555,1
10420,39,39133,OH,Portage OH,"Akron, OH Metropolitan Statistical Area",151792,0.219,161419,0.23,487.381,0.541
10420,39,39153,OH,Summit OH,"Akron, OH Metropolitan Statistical Area",542858,0.781,541781,0.77,412.748,0.459
10460,35,35035,NM,Otero NM,"Alamogordo, NM Micropolitan Statistical Area",62267,1,63797,1,6613.209,1
10500,13,13007,GA,Baker GA,"Albany, GA Metropolitan Statistical Area",4075,0.026,3451,0.022,341.944,0.177
10500,13,13095,GA,Dougherty GA,"Albany, GA Metropolitan Statistical Area",96058,0.609,94565,0.601,328.689,0.17
10500,13,13177,GA,Lee GA,"Albany, GA Metropolitan Statistical Area",24755,0.157,28298,0.18,355.784,0.184
10500,13,13273,GA,Terrell GA,"Albany, GA Metropolitan Statistical Area",10962,0.069,9315,0.059,335.439,0.174
10500,13,13321,GA,Worth GA,"Albany, GA Metropolitan Statistical Area",21949,0.139,21679,0.138,570.702,0.295
10540,41,41043,OR,Linn OR,"Albany-Lebanon, OR Micropolitan Statistical Area",103030,1,116672,1,2290.129,1
10580,36,36001,NY,Albany NY,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",294569,0.357,304204,0.349,522.804,0.186
10580,36,36083,NY,Rensselaer NY,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",152509,0.185,159429,0.183,652.431,0.232
10580,36,36091,NY,Saratoga NY,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",200601,0.243,219607,0.252,809.984,0.288
10580,36,36093,NY,Schenectady NY,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",146552,0.177,154727,0.178,204.516,0.073
10580,36,36095,NY,Schoharie NY,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",31585,0.038,32749,0.038,621.819,0.221
10620,37,37167,NC,Stanly NC,"Albemarle, NC Micropolitan Statistical Area",58094,1,60585,1,395.086,1
