state , fips , stabbr,flagship
Alabama ,1, AL,University of Alaska Fairbanks
Alaska ,2, AK,University of Alabama
Arizona ,4, AZ,University of Arkansas
Arkansas ,5, AR,University of Arizona
California ,6, CA,University of California: Berkeley
Colorado ,8, CO,University of Colorado at Boulder
Connecticut ,9, CT,University of Connecticut
Delaware ,10, DE,University of Delaware
District of Columbia ,11, DC,University of the District of Columbia
Florida ,12, FL,University of Florida
Georgia ,13, GA,University of Georgia
Hawaii ,15, HI,University of Hawaii at Manoa
Idaho ,16, ID,University of Iowa
Illinois ,17, IL,University of Idaho
Indiana ,18, IN,University of Illinois at Urbana-Champaign
Iowa ,19, IA,Indiana University Bloomington
Kansas ,20, KS,University of Kansas
Kentucky ,21, KY,University of Kentucky
Louisiana ,22, LA,Louisiana State University and Agricultural and Mechanical College
Maine ,23, ME,University of Massachusetts Amherst
Maryland ,24, MD,University of Maryland: College Park
Massachusetts ,25, MA,University of Maine
Michigan ,26, MI,University of Michigan
Minnesota ,27, MN,University of Minnesota: Twin Cities
Mississippi ,28, MS,University of Missouri: Columbia
Missouri ,29, MO,University of Mississippi
Montana ,30, MT,University of Montana
Nebraska ,31, NE,University of North Carolina at Chapel Hill
Nevada ,32, NV,University of North Dakota
New Hampshire ,33, NH,University of Nebraska - Lincoln
New Jersey ,34, NJ,University of New Hampshire
New Mexico ,35, NM,"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus"
New York ,36, NY,University of New Mexico
North Carolina ,37, NC,University of Nevada: Reno
North Dakota ,38, ND,State University of New York at Buffalo
Ohio ,39, OH,Ohio State University: Columbus Campus
Oklahoma ,40, OK,University of Oklahoma
Oregon ,41, OR,University of Oregon
Pennsylvania ,42, PA,Penn State University Park
Rhode Island ,44, RI,University of Rhode Island
South Carolina ,45, SC,University of South Carolina
South Dakota ,46, SD,University of South Dakota
Tennessee ,47, TN,University of Tennessee: Knoxville
Texas ,48, TX,University of Texas at Austin
Utah ,49, UT,University of Utah
Vermont ,50, VT,University of Virginia
Virginia ,51, VA,University of Vermont
Washington ,53, WA,University of Washington
West Virginia ,54, WV,University of Wisconsin-Madison
Wisconsin ,55, WI,West Virginia University
Wyoming ,56, WY,University of Wyoming

