,,,,,,,,,,,,,,,,,,,,,,,GS,AR,WK,PC,NO,CS,AS,MK,MC,EI,VE,AFQT
1,0.377,0.249,0.279,0.318,0.451,0.413,0.207,0.559,0.516,0.274,-1.204,0.004,-0.852,-0.404,23.537,13.731,-1.122,-1.493,1.057,-1.997,-1.951,0.217,34,47,41,41,60,66,35,58,29,30,40,33
2,0.303,0.282,0.259,0.304,0.488,0.386,0.261,0.345,0.31,0.294,0.181,-0.491,-0.456,0.764,17.878,10.558,-1.208,-1.344,0.296,-0.729,0.951,0.441,52,40,46,56,50,57,35,51,38,58,49,36
3,0.343,0.346,0.311,0.312,0.409,0.355,0.308,0.375,0.433,0.429,-0.868,-1.458,-1.361,-0.135,13.78,8.743,-0.923,-1.073,-0.735,-1.158,-1.349,-1.752,38,34,33,44,42,53,40,40,35,34,36,10
4,0.37,0.292,0.291,0.304,0.412,0.534,0.214,0.381,0.448,0.285,-1.011,-0.622,-0.647,-0.156,23.429,10.022,-1.236,-1.933,0.998,-0.907,-0.998,-0.233,36,39,43,44,60,56,33,58,37,37,43,32
5,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
6,0.346,0.406,0.274,0.299,0.464,0.448,0.362,0.363,0.493,0.315,-0.683,-1.967,-0.604,-0.304,6.375,3.532,-1.476,-1.608,-1.09,-1.072,-1.972,-1.067,40,31,44,41,29,37,33,37,35,27,43,14
7,0.55,0.477,0.595,0.371,0.641,0.58,0.592,0.364,0.486,0.446,-2.103,-2.596,-2.988,-1.281,2.529,2.63,-2.452,-2.463,-2.415,-1.215,-1.842,-1.72,24,28,20,29,23,31,26,30,35,30,20,1
8,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
9,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
10,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
11,0.33,0.247,0.351,0.318,0.44,0.375,0.248,0.302,0.496,0.326,-0.072,-0.194,-1.34,-0.492,17.716,8.673,-1.255,-0.541,0.283,-0.271,-1.931,0.508,48,45,34,38,50,53,40,51,44,30,35,21
12,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
13,0.363,0.241,0.318,0.318,0.456,0.426,0.275,0.34,0.437,0.304,-1.23,0.102,-1.27,-0.511,12.903,6.749,-1.5,-1.529,-0.065,-0.9,-1.335,-0.668,34,49,34,38,41,49,33,46,37,34,35,20
14,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
15,0.349,0.347,0.294,0.311,0.494,0.437,0.293,0.467,0.468,0.442,-0.997,-1.499,-1.018,-0.308,8.641,2.677,-1.793,-1.537,-0.562,-1.585,-0.87,-1.791,36,34,38,41,34,31,31,41,31,39,38,13
16,0.307,0.244,0.247,0.436,0.369,0.568,0.215,0.475,0.462,0.331,0.13,-0.204,-0.178,-1.488,18.238,-5.076,-0.8,-2.359,0.73,-1.846,-1.242,-1.139,52,45,48,26,51,22,35,55,29,34,41,31
17,0.338,0.255,0.301,0.319,0.462,0.43,0.268,0.308,0.445,0.298,-0.639,-0.237,-0.946,-0.534,12.087,6.299,-1.515,-1.517,0.026,-0.414,-1.286,0.218,40,45,39,38,40,48,33,48,42,34,38,22
18,0.406,0.421,0.362,0.523,0.49,0.421,0.336,0.546,0.544,0.308,-1.48,-0.562,-1.905,-1.98,-4.138,-0.043,-1.675,-0.985,-0.911,-1.965,-2.19,-0.902,30,40,26,20,20,22,35,38,29,27,23,2
19,0.327,0.42,0.31,0.622,0.461,0.387,0.531,0.506,0.486,0.452,-0.653,-2.294,-1.263,-2.224,-9999,-9999,-1.508,-1.136,-1.818,-1.757,-1.887,-1.843,40,30,35,20,0,0,35,32,31,30,30,2
20,0.364,0.251,0.331,0.556,0.491,0.505,0.379,0.389,0.599,0.377,-1.244,-0.151,-1.639,-2.054,8.797,2.477,-1.684,-1.55,-0.99,-1.309,-2.524,-1.425,34,45,29,20,34,30,31,38,33,25,25,5
21,0.387,0.343,0.373,0.633,0.622,0.476,0.456,0.354,0.59,0.391,-1.46,-1.371,-1.908,-2.295,11.321,-0.365,-1.936,-1.859,-1.508,-0.791,-2.491,-1.565,32,34,25,20,38,22,30,35,38,25,21,1
22,0.667,0.318,0.348,0.503,0.549,0.449,0.367,0.564,0.489,0.43,-2.384,-1.108,-1.536,-1.691,18.489,4.854,-1.888,-1.807,-0.895,-2.125,-1.973,-1.688,22,35,30,23,51,45,30,38,27,27,27,3
23,0.409,0.368,0.372,0.344,0.563,0.634,0.505,0.461,0.567,0.458,-1.514,-1.824,-2.193,-1.217,6.836,-0.314,-1.854,-2.627,-1.639,-1.737,-2.346,-1.6,30,31,22,29,30,22,28,33,31,25,23,1
24,0.446,0.452,0.462,0.369,0.522,0.609,0.544,0.561,0.572,0.588,-1.714,-2.581,-2.58,-1.274,15.505,0.551,-2.105,-2.34,-2.03,-2.091,-2.265,-2.097,28,28,20,29,46,23,26,32,29,27,20,1
25,0.528,0.319,0.392,0.459,0.56,0.42,0.438,0.333,0.544,0.339,-2.145,-1.197,-2.373,-1.789,13.523,3.742,-2.063,-1.675,-1.485,-0.774,-2.219,-1.193,24,35,20,23,42,39,30,35,38,27,20,1
26,0.387,0.305,0.308,0.383,0.464,0.419,0.296,0.539,0.597,0.527,-1.315,-0.616,-1.184,-1.277,14.845,-4.871,-1.184,-1.377,-0.601,-1.919,-2.378,-1.98,32,39,35,29,45,22,35,41,29,25,33,10
27,0.405,0.333,0.304,0.32,0.43,0.57,0.313,0.444,0.436,0.472,-1.221,-1.142,-1.234,-0.584,20.807,4.635,-1.27,-2.024,-0.744,-1.531,-0.832,-1.854,34,35,35,38,55,44,31,40,33,39,36,11
28,0.433,0.294,0.334,0.319,0.485,0.325,0.47,0.31,0.424,0.343,-1.553,-1.02,-1.337,-0.758,12.728,4.291,-1.85,-0.524,-1.729,-0.363,-0.749,-1.109,30,36,34,35,41,42,37,33,42,39,34,6
29,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
30,0.367,0.232,0.252,0.316,0.433,0.419,0.261,0.294,0.437,0.326,-1.061,0.238,-0.226,-0.795,17.041,6.892,-1.39,-1.548,0.258,-0.163,-1.139,-1.049,36,51,48,35,49,49,33,51,46,34,44,37
31,0.394,0.202,0.38,0.281,0.633,0.342,0.19,0.474,0.419,0.268,-0.733,0.607,-1.73,0.425,24.019,11.495,-2.377,-0.975,1.216,-1.867,-0.352,-0.035,40,57,28,53,60,60,33,60,29,44,35,35
32,0.325,0.242,0.319,0.295,0.44,0.5,0.21,0.297,0.456,0.266,-0.308,-0.083,-1.133,-0.424,20.203,8.979,-1.362,-1.869,0.901,-0.5,-1.482,-0.157,46,46,37,41,54,53,31,57,40,32,37,27
33,0.24,0.194,0.204,0.308,0.408,0.346,0.179,0.279,0.451,0.373,1.188,1.349,1.508,0.957,25.801,13.084,-1.208,-0.216,1.647,0.746,-0.083,0.936,62,65,61,59,61,65,42,65,61,49,61,97
34,0.483,0.315,0.398,0.32,0.504,0.418,0.289,0.388,0.508,0.526,-1.902,-1.201,-2.263,-0.755,9.158,3.497,-2.035,-1.535,-0.37,-1.178,-1.645,-2.01,26,35,21,35,35,37,30,43,35,32,24,3
35,0.318,0.277,0.28,0.312,0.418,0.367,0.306,0.307,0.432,0.342,0.251,-0.305,-0.481,0.665,9.612,7.624,-1,-1.197,-0.279,-0.421,0.014,0.672,52,43,46,56,35,50,39,44,42,49,49,33
36,0.328,0.263,0.247,0.305,0.391,0.369,0.277,0.301,0.428,0.316,-0.154,-0.474,0.049,0.792,15.206,7.682,-0.967,-0.925,0.088,-0.481,-0.429,-1.091,48,40,51,56,46,50,40,48,40,44,53,41
37,0.249,0.175,0.259,0.306,0.445,0.326,0.189,0.292,0.434,0.461,0.955,1.303,0.436,0.176,-9999,-9999,-1.378,-0.556,1.802,0.719,0.191,1.419,60,64,55,50,0,0,40,66,61,51,54,84
38,0.312,0.175,0.266,0.304,0.43,0.346,0.193,0.295,0.454,0.266,0.537,1.267,-0.432,0.038,25.207,7.327,-1.381,-1.005,1.251,-0.034,-0.74,-0.227,56,64,46,47,61,50,37,62,48,39,46,64
39,0.356,0.293,0.296,0.308,0.332,0.565,0.197,0.335,0.428,0.314,-0.772,-0.57,-0.82,0.675,24.24,5.282,-0.649,-2.414,0.984,-0.759,-0.442,-0.672,40,34,29,26,39,48,35,35,50,32,27,2
40,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
41,0.282,0.23,0.241,0.319,0.43,0.331,0.203,0.303,0.437,0.289,0.456,0.405,0.266,0.411,26.14,4.864,-1.422,-0.491,1.29,-0.149,-0.844,0.202,56,54,54,53,61,45,40,62,46,39,54,70
42,0.358,0.231,0.323,0.298,0.55,0.401,0.318,0.309,0.468,0.296,-0.856,0.322,-1.229,-0.54,24.362,4.866,-1.799,-1.444,-0.41,0.067,-1.684,-0.041,38,53,35,38,60,45,31,43,52,30,36,22
43,0.349,0.282,0.316,0.304,0.536,0.405,0.291,0.323,0.424,0.278,-1.042,-0.425,-1.124,-0.514,17.473,2.797,-2.077,-1.349,-0.232,-0.714,-1.023,-0.413,36,42,37,38,50,32,31,44,38,37,37,17
44,0.347,0.248,0.317,0.473,0.504,0.416,0.276,0.575,0.499,0.498,-0.551,-0.119,-1.149,-1.605,13.032,2.805,-1.925,-1.537,0.062,-1.893,-1.996,-1.89,42,46,37,23,41,32,31,48,29,27,32,16
45,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
46,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
47,0.348,0.289,0.265,0.302,0.478,0.402,0.249,0.32,0.444,0.291,-0.905,-0.654,-0.68,0.028,19.743,9.01,-1.321,-1.427,0.223,-0.704,-1.53,-0.391,38,39,43,47,54,53,35,49,38,32,44,27
48,0.36,0.284,0.254,0.311,0.395,0.379,0.263,0.292,0.414,0.308,-1.176,-0.557,-0.374,0.439,12.902,5.462,-1.158,-1.283,0.054,-0.342,-0.83,-0.332,34,40,47,53,41,47,37,48,42,39,49,34
49,0.338,0.24,0.282,0.299,0.512,0.417,0.209,0.299,0.446,0.312,-0.903,0.19,-0.757,0.949,29.329,10.794,-1.334,-1.591,0.966,-0.405,-1.562,0.432,38,50,42,59,62,58,33,58,42,32,47,48
50,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9.999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10107,,,,,,,,,,,,
