ID,afqt_std
2,.62919856
5,
7,-1.9238268
9,
10,
12,
13,.40536967
14,
16,-.28629877
18,-1.9238268
19,
20,-1.589653
21,-1.589653
22,-1.0540541
24,-1.1371818
26,-1.1371818
27,-.60296953
30,-.09922813
31,.66717817
35,.45840248
39,-1.6724922
42,.52240868
44,-.9491955
46,
51,.60540257
52,-.18041562
57,
58,-1.0024771
60,-2.0814007
62,.62919856
64,-.14415165
65,-1.0540541
66,
67,
68,
70,.28634366
71,
73,
74,
75,
76,-.90776581
79,-.90776581
80,-1.1922705
82,.32010895
83,-1.4071685
85,.75967013
87,.71022426
88,-1.589653
89,.83462245
90,
92,
93,-1.483329
95,-.14415165
96,
97,.71022426
98,.14009368
99,
105,1.1834793
106,.07228985
108,1.002561
113,1.3039933
116,
117,
118,
119,.01043007
120,
121,1.0876962
122,.77634444
123,
124,
126,-.08165227
131,1.5890485
132,1.3881502
133,1.3039933
134,
135,1.5534335
138,.60540257
140,.83462245
143,1.033869
144,.55437416
145,.29985288
146,-1.1922705
150,-1.2604906
152,.24836922
154,1.7702964
155,1.7158564
156,1.0876962
158,.68701991
161,-1.9238268
163,
165,-.05304987
167,
168,-.60296953
172,1.6533566
174,
176,1.2603443
180,1.4719793
184,.98790898
185,-1.1371818
187,1.1138055
190,.83462245
191,.75967013
195,.60540257
196,
199,.58029399
200,
202,-.24030674
206,
209,
210,
212,-.14415165
215,
218,
219,.92698556
220,.75967013
222,.28634366
223,1.1575171
225,.58029399
228,-.90776581
230,.92698556
231,
232,.49354245
233,
237,.49354245
239,
242,.14009368
244,
246,1.1138055
247,1.5534335
249,.28634366
250,-1.0540541
251,.28634366
254,.4300625
256,
257,
258,-.39956837
259,.34923103
260,-.84032833
261,-1.1371818
262,-2.2700163
263,-.24030674
264,-.18041562
265,-.9491955
268,.04793233
275,
277,
278,.4300625
279,
280,
281,.04793233
282,-.43494443
283,.92698556
285,-.54682619
287,-.65082627
294,.66717817
297,-.77780074
299,-.54682619
304,.83462245
308,-.65082627
311,.87261758
314,1.7158564
316,.79402612
318,.07228985
321,.36994846
323,1.1575171
324,
325,-.33147765
328,.74508253
329,.64969307
330,-.50502026
332,1.5078384
336,.24836922
337,.94255232
340,-.50502026
341,.33411669
342,
343,
344,
345,
346,-.65082627
347,
348,
349,
350,
357,
358,
360,
361,
367,.52240868
369,-2.2700163
370,
372,-.50502026
375,1.7158564
376,
378,
380,-.65082627
381,
384,
385,-1.0540541
386,-.09922813
391,
392,1.6533566
393,-.28629877
394,.96628106
395,
396,.64969307
397,
398,
399,.62919856
401,.66717817
404,-.36173408
405,1.002561
408,.60540257
410,-1.6724922
412,-.28629877
413,
418,
419,1.2603443
420,
421,
422,
427,-.90776581
429,.20731482
430,
432,-1.0540541
434,-.36173408
438,-.50502026
440,-.33147765
441,-1.6724922
443,
445,
446,
451,
454,.66717817
455,
456,.81073147
457,
458,
463,
466,-1.2604906
471,-1.0540541
475,-.9491955
476,
481,
482,.17540672
483,1.5890485
485,
487,-1.2604906
490,1.6533566
491,-.09922813
493,
495,
496,
500,.28634366
501,-1.3239427
502,.74508253
503,.49354245
505,1.033869
506,.92698556
508,-.90776581
510,
511,-.70813547
513,
516,-1.1922705
517,
520,
521,
522,-.84032833
524,-.46754668
525,
526,
527,1.3881502
536,-.50502026
537,-1.6724922
539,
543,.34923103
544,1.435342
545,.14009368
546,1.4719793
547,1.1834793
549,
550,1.7158564
551,1.3039933
552,.79402612
553,-1.0024771
554,.01043007
555,.94255232
558,
561,.75967013
563,-1.4071685
564,1.0656116
565,.66717817
567,-.21522309
568,.28634366
569,-.46754668
571,-1.7908803
572,.79402612
575,
576,-.05304987
577,.24836922
578,.07228985
580,.24836922
581,-.50502026
586,.20731482
588,-1.7908803
589,-1.1371818
590,1.5078384
598,-.60296953
600,-1.3239427
603,-1.4071685
606,.96628106
608,.90596244
611,.68701991
612,1.4719793
613,1.0656116
616,1.4719793
618,.62919856
619,-1.1922705
620,
621,
623,
625,
627,1.5534335
628,.71022426
630,1.0876962
631,1.002561
636,
638,1.5890485
640,.10124638
642,.77634444
643,.90596244
644,
645,
646,
647,-.54682619
648,-.77780074
649,.2295245
653,1.4719793
656,
657,
659,1.1834793
661,-.65082627
662,-1.6724922
663,
664,.04793233
665,
669,.66717817
670,
671,
673,.79402612
678,
680,.17540672
683,-.9491955
685,-1.0024771
687,.33411669
688,-1.0540541
690,
691,
692,
694,.81073147
695,
696,
697,
699,
701,-2.0814007
702,
706,.26426754
711,.71022426
712,-.90776581
714,
716,-.39956837
717,-1.7908803
718,
719,.94255232
720,.92698556
722,1.5078384
723,.28634366
724,1.7702964
726,1.7702964
729,.64969307
731,1.435342
737,1.033869
738,1.1138055
743,1.3039933
744,.77634444
745,1.6533566
746,1.5078384
747,
750,-2.2700163
752,-1.6724922
753,
754,.68701991
758,1.6533566
759,.66717817
761,-.70813547
763,1.6533566
764,-.46754668
765,.60540257
