ID,asvabAR_std
2,-.12273698
5,
7,-1.6124805
9,
10,
12,
13,1.1683741
14,
16,-.02342074
18,-.35643723
19,-1.1440476
20,-.12273698
21,-1.1013499
22,-.81795062
24,-1.413848
26,-.71345686
27,-1.0165831
30,.47316043
31,1.4663228
35,.07589549
39,-1.2152156
42,1.1683741
44,.07589549
46,
51,-.12273698
52,-.35643723
57,
58,-.81795062
60,-1.1158993
62,.47316043
64,-.42068568
65,-.53378451
66,
67,
68,
70,.21475424
71,
73,
74,
75,-.71863438
76,.37384419
79,-.71863438
80,-.53378451
82,.77110913
83,-1.1158993
85,.6717929
87,1.4663228
88,-1.1158993
89,.07589549
90,
92,-1.811113
93,-1.1440476
95,-.32136945
96,
97,.77110913
98,.37384419
99,
105,1.1683741
106,-.12273698
108,.07589549
113,1.2676903
116,
117,
118,
119,-.02342074
120,
121,.99719503
122,.07589549
123,
124,
126,.47316043
131,1.951823
132,1.4663228
133,1.8635877
134,
135,1.565639
138,.77110913
140,.07589549
143,1.1683741
144,.27452796
145,-.02342074
146,-.71863438
150,-1.3372104
152,-1.0165831
154,1.8635877
155,1.9629039
156,1.565639
158,.52350807
161,-1.1440476
163,
165,.07589549
167,
168,.52350807
172,1.9629039
174,
176,1.565639
180,1.9629039
184,.77110913
185,-1.1158993
187,1.2676903
190,.77110913
191,1.2052718
195,1.2052718
196,
199,1.1683741
200,
202,-.02342074
206,
209,
210,
212,.72365258
215,
218,
219,.77110913
220,1.2052718
222,.37384419
223,.87042536
225,.07589549
228,-.61931815
230,.27452796
231,
232,-.53378451
233,
237,.47316043
239,
242,-.02342074
244,-1.9425941
246,1.7642715
247,1.7642715
249,.47316043
250,-1.4917599
251,-.1064448
254,.6717929
256,
257,
258,.37384419
259,.37384419
260,-.71345686
261,-.71863438
262,-1.8617764
263,-.61931815
264,-.53378451
265,-.71345686
268,-.32136945
275,
277,
278,.77110913
279,
280,
281,.47316043
282,-.61931815
283,.87042536
285,-.12273698
287,-.42068568
294,.37384419
297,-1.1158993
299,-.02342074
304,.77110913
308,-.21346177
311,1.0690578
314,1.9629039
316,1.4663228
318,-.96667302
321,-.32136945
323,.87042536
324,
325,-1.413848
328,.37384419
329,-.1064448
330,-1.0165831
332,1.0690578
336,.6717929
337,1.565639
340,-.61931815
341,.6717929
342,
343,
344,
345,
346,.27452796
347,
348,
349,
350,
357,
358,
360,
361,
367,.4149624
369,-1.8617764
370,
372,-.61931815
375,1.4663228
376,
378,
380,-.71863438
381,
384,
385,-1.811113
386,-.02342074
391,
392,1.7642715
393,-.42068568
394,1.4663228
395,
396,.37384419
397,
398,
399,1.0690578
401,.27452796
404,-.53378451
405,1.2052718
408,-.71863438
410,-.61931815
412,-.21346177
413,
418,
419,1.7642715
420,
421,
422,
427,-1.0165831
429,.27452796
430,
432,-.71863438
434,.07589549
438,-.32136945
440,-.32136945
441,-1.2152156
443,
445,
446,
451,
454,.6717929
455,
456,.6717929
457,
458,
463,
466,-1.3372104
471,-1.2152156
475,-1.1440476
476,
481,
482,-1.5131643
483,1.5902404
485,
487,-1.2152156
490,1.8635877
491,.37384419
493,
495,
496,
500,.27452796
501,-1.1158993
502,.87042536
503,-.02342074
505,.07589549
506,.4149624
508,-1.1158993
510,
511,.07589549
513,
516,-1.1158993
517,
520,
521,
522,-1.0165831
524,.37384419
525,
526,
527,1.5902404
536,-.02342074
537,-1.8617764
539,
543,.87042536
544,1.9629039
545,-.81795062
546,1.8635877
547,1.8206574
549,
550,1.9629039
551,1.2052718
552,1.2052718
553,-.32136945
554,.21475424
555,1.0690578
558,
561,-.02342074
563,-1.413848
564,1.2052718
565,1.565639
567,.07589549
568,-.02342074
569,.27452796
571,-1.3372104
572,1.0690578
575,
576,-.71863438
577,-.1064448
578,-.96667302
580,-.42068568
581,-.02342074
586,-.42068568
588,-1.5131643
589,-.71863438
590,1.9629039
598,-.96667302
600,-.71863438
603,-1.1440476
606,.47316043
608,.21475424
611,.47316043
612,1.2676903
613,.85581192
616,1.2676903
618,.07589549
619,-.61931815
620,
621,
623,
625,
627,1.8635877
628,.87042536
630,1.565639
631,1.8635877
636,
638,1.7642715
640,-.02342074
642,.07589549
643,.77110913
644,
645,
646,
647,-.61931815
648,-.21346177
649,.87042536
653,1.8635877
656,
657,
659,1.4663228
661,-.71345686
662,-1.811113
663,
664,-.32136945
665,
669,1.1683741
670,
671,
673,.37384419
678,-.61931815
680,.27452796
683,-.71345686
685,-.81795062
687,-.42068568
688,-.81795062
690,
691,
692,
694,.6717929
695,
696,
697,
699,
701,-1.811113
702,
706,.6717929
711,.47316043
712,-.42068568
714,
716,-.02342074
717,-1.6124805
718,
719,.85581192
720,.37384419
722,1.565639
723,.07589549
724,1.8635877
726,1.8635877
729,.47316043
731,1.8635877
737,.85581192
738,1.0690578
743,1.8635877
744,1.0690578
745,1.7642715
746,1.7642715
747,
750,-1.6124805
752,-1.8617764
753,
754,.77110913
758,1.9629039
759,1.565639
761,-.71345686
763,1.7642715
764,-.81795062
765,.47316043
766,.07589549
768,-.32136945
773,.2851016
775,
776,
779,
780,
781,
783,
784,
785,.85581192
786,
787,
788,1.2052718
789,-.61931815
790,
792,
793,
794,1.7642715
798,1.9629039
799,
800,1.565639
803,
804,
805,.77110913
806,-.32136945
808,.07589549
810,-.02342074
817,-.71863438
819,-.42068568
820,-.61931815
823,
826,
827,1.7642715
830,
831,1.1683741
834,
836,
837,-.42068568
842,-.02342074
843,.6717929
845,1.951823
847,.37384419
852,.37384419
856,-.42068568
859,-.71863438
860,.72365258
861,-.02342074
865,1.951823
866,
867,
870,-.35643723
872,.47316043
874,-1.1158993
877,
882,
884,-.71863438
885,-.1064448
886,1.4663228
889,
890,.27452796
891,-.71863438
893,-.02342074
894,-.02342074
895,-.12273698
898,1.7642715
900,-.32136945
903,-.53378451
909,-1.4917599
911,-.21346177
914,-.61931815
917,
918,1.7642715
921,
926,
927,
929,1.5902404
936,-.71863438
937,.37384419
938,.37384419
940,1.8206574
942,1.2676903
943,-.02342074
946,.37384419
953,.07589549
956,1.0690578
957,1.7642715
958,.6717929
959,-1.1013499
960,-.02342074
962,.2851016
963,1.9629039
968,
970,1.4663228
972,1.7642715
973,1.565639
974,1.9629039
975,.21475424
976,-.53378451
977,-.35643723
978,1.9629039
980,.6717929
981,-1.6124805
982,1.565639
987,.6717929
990,.72365258
991,
994,1.1074217
997,1.1074217
998,-1.0165831
999,.52350807
1000,-.61931815
1001,.37384419
1002,-.61931815
1004,.37384419
1005,-.32136945
1006,-1.811113
1007,-.71345686
1009,1.2676903
1011,1.8635877
1012,1.1683741
1013,.77110913
1014,.47316043
1015,1.1074217
1016,.6717929
1018,1.4663228
1019,1.7642715
1020,-.42068568
1025,.99719503
1026,.27452796
1027,-1.1158993
1028,1.1683741
1030,.27452796
1031,-.12273698
1032,-.61931815
1034,-.96667302
1036,
1037,-1.5131643
1038,
1041,-1.8617764
1044,-1.413848
1046,-1.1158993
1049,-.96667302
1051,-1.9425941
1053,.6717929
1058,
1059,
1062,-.81795062
1063,-.42068568
1065,-.81795062
1068,-.21346177
1069,
1071,.6717929
1072,
1074,1.565639
1078,-.35643723
1079,
1081,1.8635877
1085,-1.1013499
1086,1.8635877
1089,1.2676903
1090,1.4663228
1093,-.71863438
1094,-.81795062
1095,.37384419
1097,-.96667302
1106,
1108,.07589549
1110,
1111,
1112,
1113,1.7642715
1115,.27452796
1117,.21475424
1122,1.7642715
1124,.21475424
1125,
1126,1.2676903
1129,1.7642715
1130,1.0690578
1131,-.02342074
1135,1.0690578
1136,
1137,
1140,1.8635877
1141,
1142,.37384419
1147,
1150,-.12273698
1155,.21475424
1157,-.32136945
1158,
1159,
1161,-.71345686
1162,1.0690578
1163,.6717929
1164,1.1074217
1167,.85581192
1168,-.42068568
1170,1.5902404
1171,1.0690578
1172,
1174,
1176,-1.2152156
1178,1.9629039
1179,.27452796
1180,.77110913
1183,1.0690578
1184,.27452796
1185,1.5902404
1186,1.9629039
1189,1.1683741
1191,.47316043
1192,-.21346177
1193,1.565639
1195,
1196,
1198,-1.811113
1199,1.4663228
1201,-1.3372104
1202,.2851016
1204,-1.1158993
1207,
1208,-.02342074
1210,-1.4917599
1211,-.32136945
1213,-1.3372104
1214,-1.8617764
1215,
1217,-.42068568
1218,-1.1158993
1219,-1.1158993
1221,
1222,-1.3372104
1224,
1226,.47316043
1228,-.21346177
1230,1.7642715
1231,1.8635877
1232,-.61931815
1233,.6717929
1234,1.4663228
1235,1.9629039
1236,
1237,-.12273698
1239,1.951823
1240,-.32136945
1244,
1247,1.8635877
1250,1.4663228
1251,1.9629039
1252,.6717929
1255,
1259,-.61931815
1260,
1261,-.61931815
1262,-.35643723
1263,
1264,-.02342074
1267,1.951823
1270,-.02342074
1272,
1273,.99719503
1277,-.71863438
