ID,asvabCS_std
2,1.3178702
5,
7,-1.1422042
9,
10,
12,
13,.77856711
14,
16,-2.5991746
18,-2.5991746
19,
20,-1.8861363
21,-2.1973244
22,-.01619564
24,-1.7232079
26,-2.5991746
27,-.31423167
30,.08314971
31,1.6350448
35,.5294731
39,-.08211183
42,.08314971
44,-1.3076851
46,
51,-.41357702
52,-.51732867
57,
58,-1.4743947
60,-.6122677
62,-.81095839
64,-.82756004
65,-.31423167
66,
67,
68,
70,.43153904
71,
73,
74,
75,
76,-.39370787
79,-2.5991746
80,-1.2434262
82,-.29396309
83,-2.4663357
85,-.11554098
87,1.3746392
88,-.6122677
89,.48053108
90,
92,.08314971
93,.13007975
95,.28184039
96,
97,1.1121041
98,.67922177
99,
105,1.3746392
106,-.51732867
108,.38118574
113,1.3746392
116,
117,
118,
119,-.31423167
120,
121,.48053108
122,-.01619564
123,
124,
126,.57987643
131,1.1121041
132,.18249505
133,1.3746392
134,
135,.28184039
138,.48053108
140,.48053108
143,.18249505
144,-.01619564
145,.57987643
146,-1.6417375
150,-.6122677
152,.29911775
154,-.11554098
155,1.4306339
156,1.2752938
158,-.73666919
161,-.29396309
163,
165,.08314971
167,
168,-2.1973244
172,2.2718329
174,
176,1.9721885
180,1.4306339
184,-.11554098
185,-.21488633
187,.08314971
190,.48053108
191,-.01619564
195,-1.0096491
196,
199,-.51292236
200,
202,-.39370787
206,
209,
210,
212,.18249505
215,
218,
219,.48053108
220,.9772578
222,.9772578
223,.48053108
225,-.21488633
228,-.08211183
230,.9772578
231,
232,-.29396309
233,
237,1.3746392
239,
242,-.21488633
244,
246,.18249505
247,1.1983177
249,.67922177
250,-.11554098
251,.5294731
254,-.51292236
256,
257,
258,.6880109
259,-.29396309
260,-.6122677
261,-.39370787
262,-1.8861363
263,-2.4663357
264,.08314971
265,-.11554098
268,-.82756004
275,
277,
278,.18249505
279,
280,
281,.48053108
282,-.29396309
283,.48053108
285,.18249505
287,-.11554098
294,1.2752938
297,-2.4663357
299,.48053108
304,-.01619564
308,-.82756004
311,.08314971
314,1.9721885
316,-.11554098
318,-1.8861363
321,-1.7232079
323,.77856711
324,
325,.9772578
328,-.6122677
329,.48053108
330,-.51732867
332,1.1983177
336,.18249505
337,1.3746392
340,.38118574
341,.77856711
342,
343,
344,
345,
346,-.01619564
347,
348,
349,
350,
357,
358,
360,
361,
367,-.6122677
369,-.39370787
370,
372,.5294731
375,1.6350448
376,
378,
380,-1.2434262
381,
384,
385,-1.7232079
386,.13007975
391,
392,1.484966
393,.18249505
394,1.4306339
395,
396,-.11554098
397,
398,
399,1.2752938
401,.28184039
404,.48053108
405,-.31423167
408,.5294731
410,-.51732867
412,.18249505
413,
418,
419,-.51292236
420,
421,
422,
427,-.82756004
429,.18249505
430,
432,-.51292236
434,-.81095839
438,-.08211183
440,.48053108
441,-.6122677
443,
445,
446,
451,
454,.08314971
455,
456,.08314971
457,
458,
463,
466,-.6122677
471,-1.0857157
475,-1.6417375
476,
481,
482,-.29396309
483,1.0766031
485,
487,.18249505
490,.13007975
491,-1.8861363
493,
495,
496,
500,-.08211183
501,-.51292236
502,-1.8861363
503,-.31423167
505,-2.4663357
506,1.2752938
508,.28184039
510,
511,-.08211183
513,
516,-.31423167
517,
520,
521,
522,-1.8861363
524,-.11554098
525,
526,
527,-.01619564
536,-1.3076851
537,-2.5991746
539,
543,.9772578
544,1.762594
545,-.01619564
546,.77856711
547,-.31423167
549,
550,.48053108
551,1.0278677
552,.29911775
553,-.01619564
554,-1.4743947
555,-.51732867
558,
561,-.6122677
563,-.51732867
564,1.3746392
565,.18249505
567,.87791246
568,.57987643
569,.18249505
571,-2.5991746
572,.57987643
575,
576,.18249505
577,.9772578
578,1.5733299
580,-1.0857157
