pid,weight
1,323197
2,272178
3,169357
4,149099
5,245150
6,218371
7,232055
8,291103
9,313027
10,322580
11,218371
12,262572
13,225943
14,277820
15,225405
16,99849
17,80825
18,96678
19,112435
20,116518
21,99849
22,99849
23,91807
24,99444
25,99208
26,125910
27,114180
28,110561
29,270278
30,261824
31,273066
32,253941
33,314483
34,318843
35,277640
36,348666
37,320649
38,258920
39,108588
40,293223
41,275578
42,255331
43,97296
44,100654
45,97883
46,105822
47,102097
48,96295
49,102097
50,96295
51,109664
52,104863
53,97883
54,97883
55,76071
56,279754
57,90991
58,104863
59,97296
60,281400
61,96295
62,113580
63,101379
64,113580
65,109601
66,113580
67,113580
68,102999
69,100771
70,94241
71,113580
72,105744
73,109601
74,250421
75,289129
76,289129
77,102704
78,313374
79,109775
80,122722
81,120792
82,86613
83,100654
84,83226
85,319696
86,357282
87,238852
88,297457
89,268901
90,237947
91,197891
92,261077
93,211045
94,80941
95,93976
96,282996
97,251167
98,309623
99,97661
100,101111
101,101111
102,217367
103,224369
104,336171
105,267691
106,279881
107,299047
108,300806
109,299047
110,307418
111,271454
112,306442
113,299852
114,298098
115,201811
116,112046
117,112046
118,303286
119,277203
120,277203
121,261824
122,281400
123,298759
124,273066
125,287584
126,261824
127,288362
128,288362
129,324159
130,261754
131,307952
132,258126
133,281468
134,290058
135,269880
136,278594
137,327319
138,297033
139,303561
140,235853
141,326816
142,263899
143,127078
144,116272
145,135224
146,135224
147,317541
148,116180
149,109578
150,120418
151,116180
152,103541
153,92105
154,310475
155,310475
156,283774
157,83710
158,86613
159,102724
160,76071
161,93976
162,97296
163,104863
164,271658
165,319603
166,299272
167,232733
168,270463
169,289135
170,307648
171,223632
172,254974
173,320201
174,254974
175,258558
176,278031
177,320201
178,320201
179,258558
180,254974
181,284840
182,292813
183,320201
184,287028
185,230831
186,275684
187,206479
188,314483
189,287584
190,250421
191,292117
192,203784
193,236857
194,250072
195,255279
196,197099
197,253941
198,314483
199,284212
200,310954
201,281310
202,290133
203,305558
204,269812
205,287171
206,290133
207,269812
208,305558
209,93721
210,91253
211,108227
212,112205
213,88194
214,88194
215,106046
216,108227
217,88194
218,93721
219,273066
220,281400
221,287584
222,229052
223,229052
224,279754
225,298759
226,221410
227,314483
228,303911
229,310591
230,107825
231,132582
232,107825
233,132582
234,107568
235,274256
236,103608
237,270454
238,253941
239,298759
240,270278
241,91489
242,91708
243,286177
244,94188
245,304501
246,112764
247,335644
248,332217
249,321826
250,321826
251,308901
252,273566
253,304839
254,277534
255,286495
256,316685
257,298283
258,289450
259,277534
260,112710
261,107776
262,112710
263,107776
264,280651
265,202431
266,314483
267,314483
268,229052
269,253941
270,287584
271,279754
272,190493
273,196630
274,233763
275,242354
276,190493
277,197099
278,298759
279,261824
280,250421
281,246284
282,305549
283,287795
284,226442
285,267775
286,294120
287,310710
288,281089
289,299087
290,299087
291,327062
292,101798
293,89863
294,97735
295,86555
296,173110
297,197099
298,270278
299,261824
300,287584
301,253941
302,287584
303,314483
304,289218
305,312152
306,363206
307,363206
308,302389
309,293284
310,323096
311,315372
312,323096
313,293284
314,324997
315,323096
316,315372
317,269980
318,262561
319,283381
320,291917
321,273208
322,291917
323,311749
324,311749
325,293634
326,314483
327,270278
328,281400
329,281400
330,273066
331,320000
332,304001
333,284662
334,292629
335,320000
336,210695
337,287717
338,291762
339,314403
340,324163
341,310045
342,338082
343,348399
344,348399
345,348399
346,88247
347,102553
348,90634
349,88247
350,286709
351,77506
352,77506
353,85289
354,85289
355,104662
356,85289
357,102553
358,90634
359,88037
360,88247
361,108509
362,125911
363,143018
364,137753
365,138554
366,170026
367,166600
368,125911
369,143359
370,166600
371,138554
372,147237
373,137753
374,294340
375,105467
376,115268
377,107059
378,115742
379,105292
380,256681
381,109162
382,322345
383,294774
384,126695
385,143356
386,151681
387,123064
388,119223
389,311655
390,331705
391,366659
392,111571
393,93192
394,90737
395,293634
396,261309
397,223152
398,252891
399,311749
400,291917
401,293634
402,321024
403,248647
404,333499
405,292269
406,301706
407,84340
408,121584
409,89739
410,118076
411,113890
412,104190
413,121584
414,89739
415,283567
416,351173
417,301811
418,279636
419,314229
420,304396
421,278218
422,267061
423,293336
424,89974
425,302437
426,111053
427,108815
428,89974
429,283053
430,266842
431,88683
432,107254
433,88683
434,290972
435,81059
436,89199
437,79308
438,92741
439,86767
440,111031
441,97975
442,79308
443,111031
444,87272
445,104937
446,92741
447,90084
448,90084
449,86767
450,113383
451,98186
452,83964
453,92396
454,100347
455,92485
456,94987
457,113720
458,100347
459,92265
460,81228
461,92265
462,81228
463,100347
464,81228
465,88868
466,94987
467,88868
468,81228
469,89385
470,81228
471,138772
472,112590
473,109077
474,90569
475,109221
476,98735
477,90834
478,274783
479,85105
480,104436
481,84613
482,243403
483,247201
484,194303
485,455110
486,348666
487,311986
488,341921
489,341921
490,333747
491,343933
492,330340
493,320007
494,211470
495,211975
496,211975
497,273106
498,338218
499,204870
500,300373
501,300373
502,275463
503,288007
504,316343
505,216809
506,300373
507,299822
508,104937
509,102048
510,111031
511,111031
512,79308
513,97975
514,79308
515,90084
516,92741
517,102708
518,88170
519,104821
520,102708
521,90771
522,90771
523,320901
524,102708
525,95894
526,90771
527,367969
528,393168
529,267720
530,393168
531,253658
532,213364
533,293281
534,187842
535,341247
536,232055
537,304096
538,300992
539,246682
540,193895
541,193895
542,226723
543,222695
544,266764
545,231120
546,338594
547,318919
548,325929
549,296734
550,318919
551,296734
552,296734
553,283810
554,261824
555,281400
556,279754
557,173110
558,294483
559,310140
560,259344
561,287387
562,88245
563,278876
564,255749
565,95975
566,85491
567,305116
568,267395
569,267395
570,285706
571,305116
572,255749
573,77689
574,88245
575,267395
576,267395
577,287387
578,278876
579,321797
580,256244
581,279416
582,276564
583,259846
584,275102
585,292801
586,262550
587,213016
588,271289
589,271289
590,271289
591,206368
592,205174
593,187536
594,199541
