ID,asvabMK_std
2,.68236261
5,
7,-1.811843
9,
10,
12,
13,.98166728
14,
16,.68236261
18,-1.0136972
19,-1.3130019
20,-1.2132336
21,-1.3130019
22,-.91392897
24,-1.2132336
26,-.91392897
27,-1.0136972
30,.08375327
31,1.4805084
35,-.11578318
39,-1.5125383
42,.08375327
44,-.20314698
46,
51,.18352149
52,-.2155514
57,
58,-.91392897
60,-1.811843
62,.98166728
64,.68236261
65,-.01154764
66,
67,
68,
70,.78213084
71,
73,
74,
75,-1.0136972
76,.48282616
79,-1.7234345
80,-.71439252
82,.41759304
83,-.91392897
85,.38305794
87,1.1812037
88,-1.3130019
89,1.4805084
90,
92,-1.5125383
93,-1.3130019
95,-.71439252
96,
97,.78213084
98,.48282616
99,
105,.38305794
106,-.71439252
108,.98166728
113,.65541563
116,
117,
118,
119,-.91392897
120,
121,.48282616
122,.48282616
123,
124,
126,.48282616
131,1.4805084
132,1.2614837
133,1.4805084
134,
135,1.5802766
138,.48282616
140,1.1812037
143,1.280972
144,1.1812037
145,.18352149
146,-.11578318
150,-.2155514
152,-1.2132336
154,1.5802766
155,1.5802766
156,1.4805084
158,1.5802766
161,-1.2132336
163,
165,.78213084
167,
168,-.41508785
172,1.7798131
174,
176,1.7798131
180,1.7798131
184,.76017105
185,-.71439252
187,1.4805084
190,1.314038
191,.78213084
195,-.20314698
196,
199,.14627473
200,
202,.41759304
206,
209,
210,
212,.68236261
215,
218,
219,.76017105
220,1.4805084
222,.78213084
223,.98166728
225,-.91392897
228,.38305794
230,-.11578318
231,
232,-.11578318
233,
237,-.2155514
239,
242,1.1812037
244,-1.811843
246,1.4805084
247,1.5802766
249,.48282616
250,-.11578318
251,.98166728
254,.78213084
256,
257,
258,.78213084
259,.48282616
260,-.11578318
261,-.71439252
262,-.2155514
263,-.11578318
264,1.1812037
265,-1.2132336
268,-.2155514
275,
277,
278,.65541563
279,
280,
281,1.1812037
282,-1.0002096
283,.68236261
285,-.2155514
287,-.2155514
294,-.20314698
297,-.71439252
299,-.6146243
304,.48282616
308,-.2155514
311,.38305794
314,1.7798131
316,.68236261
318,-.41508785
321,.78213084
323,1.4805084
324,
325,.68236261
328,1.5802766
329,.08375327
330,-.41508785
332,1.7798131
336,.98166728
337,1.5802766
340,.14627473
341,1.5353363
342,
343,
344,
345,
346,-.71439252
347,
348,
349,
350,
357,
358,
360,
361,
367,.38305794
369,-1.2132336
370,
372,.38305794
375,1.5802766
376,
378,
380,-.2155514
381,
384,
385,-1.3241759
386,.98166728
391,
392,1.280972
393,-1.2132336
394,-.20314698
395,
396,.23722516
397,
398,
399,1.1812037
401,.98166728
404,-.71439252
405,1.5802766
408,.14627473
410,-1.2132336
412,-1.0136972
413,
418,
419,1.5802766
420,
421,
422,
427,-1.0136972
429,-1.5125383
430,
432,.14627473
434,-.56528823
438,-1.2132336
440,-.11578318
441,-1.811843
443,
445,
446,
451,
454,.18352149
455,
456,.14627473
457,
458,
463,
466,-1.3241759
471,-.41508785
475,-.91392897
476,
481,
482,-1.2132336
483,1.4805084
485,
487,-2.0113794
490,1.4805084
491,-.2155514
493,
495,
496,
500,.14627473
501,-.87188606
502,.18352149
503,-.2155514
505,.48282616
506,.68236261
508,-1.2132336
510,
511,-1.0002096
513,
516,-1.0002096
517,
520,
521,
522,-.91392897
524,.18352149
525,
526,
527,1.280972
536,-.71439252
537,-1.3130019
539,
543,1.314038
544,1.5802766
545,.08375327
546,1.7798131
547,1.5802766
549,
550,1.5802766
551,.78213084
552,.68236261
553,-.41508785
554,-.91392897
555,1.1108753
558,
561,1.1812037
563,-1.3241759
564,1.4805084
565,.78213084
567,.23722516
568,-.11578318
569,-.91392897
571,-1.5125383
572,.98166728
575,
576,.38305794
577,.98166728
578,.48282616
580,-.71439252
581,1.1812037
586,-.20314698
588,-1.6428478
589,-1.5125383
590,1.7798131
598,.48282616
600,-.87188606
603,-.91392897
606,.78213084
608,.41759304
611,1.314038
612,1.4805084
613,.78213084
616,1.5802766
618,.78213084
619,-.91392897
620,
621,
623,
625,
627,.98166728
628,.68236261
630,.98166728
631,1.1812037
636,
638,1.7798131
640,.18352149
642,1.5802766
643,1.1812037
644,
645,
646,
647,-.2155514
648,-.71439252
649,1.4805084
653,.48282616
656,
657,
659,.38305794
661,-1.2132336
662,-1.6428478
663,
664,.18352149
665,
669,.41759304
670,
671,
673,.68236261
678,
680,.48282616
683,-.6146243
685,-1.1042617
687,-.41508785
688,-.41508785
690,
691,
692,
694,.18352149
695,
696,
697,
699,
701,-1.7234345
702,
706,-.71439252
711,.48282616
712,-1.0002096
714,
716,-.11578318
717,-1.2132336
718,
719,.98166728
720,.78213084
722,1.5802766
723,-.6146243
724,1.7798131
726,1.5802766
729,.98166728
731,1.7798131
737,.98166728
738,1.5802766
743,1.5802766
744,1.4805084
745,1.4805084
746,1.5802766
747,
750,-1.2132336
752,-1.2132336
753,
754,.68236261
758,1.5802766
759,1.1812037
761,-.6146243
763,1.4805084
764,-1.1042617
765,-.2155514
766,.18352149
768,-1.3130019
773,-.71439252
775,
776,
779,
780,
781,
783,
784,
785,-.2155514
786,
787,
788,1.4805084
789,.08375327
790,
792,
793,
794,.98166728
798,1.7798131
799,
800,1.1812037
803,
804,
805,.48282616
806,-1.5125383
808,-.11578318
810,-.2155514
817,-.91392897
819,.48282616
820,-.87188606
823,
826,
827,.76017105
830,
831,.68236261
834,
836,
837,-.6146243
842,.48282616
843,.38305794
845,.98166728
847,.65541563
852,-.71439252
856,.08375327
859,-1.0136972
860,.78213084
861,.38305794
865,1.4805084
866,
867,
870,-.41508785
872,-.11578318
874,-1.3241759
877,
882,
884,.48282616
885,-1.0136972
886,.78213084
889,
890,-.41508785
891,-.2155514
893,-.71439252
894,.38305794
895,-.6146243
898,.78213084
900,-.91392897
903,-1.3241759
909,-1.2132336
911,-1.2132336
914,-.2155514
917,
918,1.7798131
921,
926,
927,
929,1.7798131
936,-.6146243
937,.76017105
938,.78213084
940,1.7798131
942,.48282616
943,.68236261
946,1.280972
953,.08375327
956,.23722516
957,1.1812037
958,.23722516
959,-.91392897
960,.18352149
962,.38305794
963,1.7798131
968,
970,.38305794
972,1.5802766
973,1.4805084
974,1.5802766
975,.18352149
976,-.71439252
977,-.91392897
978,1.7798131
980,1.4805084
981,-1.0002096
982,1.2614837
987,.78213084
990,.48282616
991,
994,.48282616
997,1.314038
998,-.91392897
999,-1.2132336
1000,-2.0113794
1001,-.6146243
1002,.08375327
1004,-.71439252
1005,-.6146243
1006,-.91392897
1007,-.01154764
1009,1.5802766
1011,1.5802766
1012,1.4805084
1013,.68236261
1014,.68236261
1015,1.280972
1016,.98166728
1018,.48282616
1019,1.5353363
1020,-.91392897
1025,.38305794
1026,.23722516
1027,-1.2132336
1028,.98166728
1030,.68236261
1031,-.91392897
1032,-.6146243
1034,-1.0002096
1036,
1037,-1.7234345
1038,
1041,-1.811843
1044,-1.0136972
1046,-1.811843
1049,-.2155514
1051,-1.3130019
1053,-.6146243
1058,
1059,
1062,-1.3130019
1063,-.91392897
1065,-1.0002096
1068,.08375327
1069,
1071,.68236261
1072,
1074,1.1812037
1078,-.6146243
1079,
1081,1.4805084
1085,-.2155514
1086,1.7798131
1089,1.4805084
1090,1.1812037
1093,-.2155514
1094,-.11578318
1095,.65541563
1097,-1.2132336
1106,
1108,-.71439252
1110,
1111,
1112,
1113,1.5802766
1115,.65541563
1117,.18352149
1122,1.5802766
1124,-.2155514
1125,
1126,.98166728
1129,1.7798131
1130,.38305794
1131,-.6146243
1135,.48282616
1136,
1137,
1140,1.4805084
1141,
1142,.38305794
1147,
1150,.78213084
1155,.48282616
1157,.68236261
1158,
1159,
1161,-2.0961033
1162,1.2614837
1163,1.1812037
1164,.98166728
1167,.76017105
1168,.68236261
1170,1.5802766
1171,.98166728
1172,
1174,
1176,-.91392897
1178,1.314038
1179,.78213084
1180,-.11578318
1183,.14627473
1184,-.41508785
1185,1.2614837
1186,1.5802766
1189,1.1812037
1191,1.314038
1192,-.56528823
1193,1.4805084
1195,
1196,
1198,-1.6428478
1199,1.1812037
1201,-1.1042617
1202,-.11578318
1204,-2.0961033
1207,
1208,-.41508785
1210,-1.1042617
1211,-.6146243
1213,-1.0002096
1214,-1.5125383
1215,
1217,-.71439252
1218,-.91392897
1219,-1.2132336
1221,
1222,-.71439252
1224,
1226,.08375327
1228,.78213084
1230,.08375327
1231,.98166728
1232,-.2155514
1233,.48282616
1234,1.280972
1235,1.4805084
1236,
1237,.18352149
1239,1.4805084
1240,.18352149
1244,
1247,1.7798131
1250,.68236261
1251,1.5802766
1252,.48282616
1255,
1259,-.91392897
1260,
1261,-1.811843
1262,-1.0136972
1263,
1264,-.01154764
1267,1.7798131
1270,.48282616
1272,
1273,-1.0002096
1277,.98166728
1278,1.1812037
1279,.76017105
1280,.68236261
1281,.98166728
1283,.48282616
1284,
1286,1.1108753
1287,.18352149
1288,1.5802766
1289,
1291,
1293,.98166728
1294,.48282616
1297,.48282616
1298,-1.5125383
1299,-.41508785
1300,1.1812037
1301,-.41508785
1304,1.1108753
1305,1.5802766
1310,
1318,-2.0961033
1320,-.91392897
1321,-.91392897
1323,1.4805084
1326,-.71439252
1332,1.5353363
1335,1.5353363
1336,1.5802766
1339,1.1108753
1341,.48282616
1342,.65541563
1343,
1346,
1348,1.280972
1349,-.11578318
1351,-1.3130019
1352,-1.7234345
1353,-1.0136972
1359,
1360,1.7798131
1361,1.7798131
1363,
1364,-.2155514
1365,
1366,
1367,1.1812037
1371,1.7798131
1373,1.1812037
1374,
1376,
1377,-1.811843
1378,-.11578318
1381,
1382,.68236261
1383,
1390,.08375327
1394,-.91392897
1395,-1.2132336
1396,-1.811843
1397,-.71439252
1400,-.41508785
1401,-.11578318
1402,
1404,-.11578318
1405,
1406,.65541563
1407,1.280972
1408,
1409,
1417,
1418,-.11578318
1421,1.7798131
1425,-1.811843
1426,-1.811843
1431,.18352149
1434,
1435,-1.0136972
1439,-1.2132336
1441,.38305794
1443,-.2155514
1446,.68236261
1447,1.7798131
1449,.65541563
1452,.78213084
1455,1.4805084
1456,1.1108753
1457,1.5802766
1458,
1460,1.5353363
1461,
1463,1.4805084
1465,.68236261
1468,-.2155514
1469,-1.0136972
1471,-2.0961033
1473,1.1812037
1474,
1478,.08375327
1481,-1.0136972
1482,
1483,
1484,-.71439252
1485,.98166728
1486,.48282616
1488,.65541563
1491,1.5802766
1493,1.5802766
1503,.98166728
1505,-.41508785
1507,
1508,
1510,-.11578318
1514,-.71439252
1515,.18352149
1518,1.4805084
1519,1.7798131
1520,-.2155514
1522,1.314038
1525,-.91392897
1529,
1530,.48282616
1532,.38305794
1535,-.91392897
1536,
1538,
1545,.48282616
1547,.38305794
1548,.68236261
1549,1.2614837
1552,1.1812037
1553,
1554,
1555,
1556,.98166728
1558,
1559,-.91392897
1560,1.4805084
1561,
1562,-1.0136972
1563,-.71439252
1564,
1569,
1570,1.4805084
1572,.68236261
1573,.78213084
1578,.68236261
1579,
1580,-1.3241759
1581,
1583,
1586,-1.3241759
1589,.78213084
1591,
1596,-1.6428478
1597,
1607,
1609,
1613,
1615,
1617,
1618,.76017105
1619,1.5802766
1620,.65541563
1621,
1623,1.7798131
1625,
1626,
1627,.78213084
1628,1.5802766
1631,
1632,.68236261
1635,
1636,
1637,1.1812037
1638,.65541563
1640,.98166728
1643,.48282616
1645,.68236261
1646,.08375327
1648,.48282616
1649,-.11578318
1650,
1652,1.7798131
1653,
1654,1.4805084
1655,
1656,
1659,-.2155514
1661,
1662,
1664,.38305794
1665,.48282616
1666,.14627473
1667,.08375327
1668,.18352149
1675,.48282616
1676,-.11578318
1678,1.314038
1681,1.1108753
1683,1.280972
1685,
1687,
1688,
1692,.68236261
1693,-.41508785
1694,1.4805084
1695,1.1812037
1696,-.11578318
1699,
1700,-1.0002096
1701,.38305794
1702,-1.1042617
1704,.98166728
1707,
1708,
1710,-.01154764
1711,.38305794
1714,
1715,-1.0136972
1720,-.91392897
1721,
1722,
1724,
1725,
1726,
1727,
1729,
1732,
1734,-1.7234345
1735,.98166728
1737,-.41508785
1738,.98166728
1740,
1741,
