ID,asvabNO_std
2,.33730116
5,
7,-2.6194571
9,
10,
12,
13,.13400256
14,
16,.23565186
18,-2.9754422
19,
20,-1.7487368
21,-.86311361
22,.54059976
24,.64224906
26,-.47589323
27,.74389836
30,-.100334
31,1.1504956
35,-1.085789
39,-1.085789
42,1.2521449
44,-.78084113
46,
51,1.1504956
52,.43895046
57,
58,-2.0891984
60,-1.8199228
62,-.17094534
64,.54059976
65,-.86311361
66,
67,
68,
70,.22011737
71,
73,
74,
75,
76,-.04189837
79,-.17094534
80,-1.085789
82,.23565186
83,.33730116
85,-.63784291
87,.84554766
88,-1.2470035
89,1.0488463
90,
92,
93,-1.2967703
95,-.35942874
96,
97,1.2521449
98,.03235326
99,
105,1.2521449
106,.03235326
108,.43895046
113,1.2521449
116,
117,
118,
119,-1.2470035
120,
121,.74389836
122,1.1504956
123,
124,
126,.23565186
131,.22011737
132,1.2521449
133,1.2521449
134,
135,.64224906
138,-.100334
140,.67632126
143,1.2521449
144,-.17094534
145,.23565186
146,-1.3907369
150,.03235326
152,.94719696
154,1.1504956
155,1.2521449
156,-.37424394
158,.57363586
161,-1.9217268
163,
165,1.2521449
167,
168,-1.085789
172,1.0488463
174,
176,1.1504956
180,.84554766
184,1.1504956
185,-.17094534
187,1.0488463
190,.23565186
191,.64224906
195,-.47589323
196,
199,.03235326
200,
202,.64224906
206,
209,
210,
212,-.06929604
215,
218,
219,-1.1837131
220,.35212489
222,.22011737
223,1.2521449
225,.1228583
228,-.78084113
230,.64224906
231,
232,.94719696
233,
237,.64224906
239,
242,.23565186
244,
246,-.100334
247,1.0488463
249,1.1504956
250,.13400256
251,-.37424394
254,.23565186
256,
257,
258,-.37424394
259,.94719696
260,.64224906
261,.33730116
262,-1.2470035
263,-1.0098475
264,-.27259464
265,.13400256
268,-.27259464
275,
277,
278,-.47589323
279,
280,
281,.64224906
282,-1.8199228
283,1.1504956
285,-.27259464
287,.23565186
294,.23565186
297,-.18533399
299,.7972803
304,.03235326
308,-1.2967703
311,1.2521449
314,1.2521449
316,-.98413973
318,-.17094534
321,-1.085789
323,.84554766
324,
325,.57363586
328,1.1504956
329,1.0488463
330,.1228583
332,1.2521449
336,1.0488463
337,1.2521449
340,.64224906
341,1.1504956
342,
343,
344,
345,
346,1.1504956
347,
348,
349,
350,
357,
358,
360,
361,
367,-.06929604
369,-2.6194571
370,
372,.94719696
375,1.2521449
376,
378,
380,-.18533399
381,
384,
385,-1.5099902
386,.57363586
391,
392,1.2521449
393,.23565186
394,.67632126
395,
396,.64224906
397,
398,
399,.35212489
401,1.2521449
404,.1228583
405,1.0488463
