ID,asvabPC_std
2,1.1953659
5,
7,-.81333808
9,
10,
12,
13,.44210189
14,
16,-1.5666021
18,-2.068778
19,-1.5666021
20,-2.068778
21,-1.8176901
22,-1.3155141
24,-.0600741
26,-1.3155141
27,-.31116209
30,-1.0297608
31,.94427788
35,1.1953659
39,-1.5666021
42,.28396471
44,-1.8176901
46,
51,.44210189
52,-.31116209
57,
58,-.28142802
60,-2.068778
62,.44210189
64,-.56225009
65,-.31116209
66,
67,
68,
70,.19101389
71,
73,
74,
75,-2.068778
76,-1.0297608
79,-.56225009
80,-.77149008
82,.19101389
83,-2.068778
85,.94427788
87,.28396471
88,-1.5666021
89,1.1953659
90,
92,-1.3045103
93,-1.3155141
95,-.0600741
96,
97,.44210189
98,-.0600741
99,
105,.94427788
106,-.0600741
108,.94427788
113,1.1953659
116,
117,
118,
119,-.0600741
120,
121,1.1953659
122,.19101389
123,
124,
126,-.31116209
131,1.4464539
132,1.1953659
133,.94427788
134,
135,1.4464539
138,.44210189
140,1.1953659
143,1.1953659
144,1.1953659
145,.69318988
146,-.81333808
150,-1.8176901
152,.69318988
154,1.4464539
155,1.4464539
156,1.1953659
158,.19101389
161,-1.3155141
163,
165,-1.0644261
167,
168,-1.3045103
172,1.4464539
174,
176,.94427788
180,1.1953659
184,1.1953659
185,-1.0644261
187,.94427788
190,.69318988
191,.44210189
195,.19101389
196,
199,-.0600741
200,
202,-.31116209
206,
209,
210,
212,-.77149008
215,
218,
219,1.1953659
220,.69318988
222,-.31116209
223,.94427788
225,.69318988
228,-.02580313
230,.94427788
231,
232,.5924628
233,
237,-.0600741
239,
242,.44210189
244,-2.068778
246,.69318988
247,1.4464539
249,-.31116209
250,-1.8176901
251,.94427788
254,.28396471
256,
257,
258,-.56225009
259,.19101389
260,-1.0297608
261,-.56225009
262,-1.8992121
263,-1.0644261
264,-.56225009
265,-.31116209
268,-.0600741
275,
277,
278,.19101389
279,
280,
281,-.56225009
282,-.0600741
283,.5924628
285,-1.3155141
287,-1.0644261
294,.94427788
297,-.0600741
299,-1.3155141
304,.69318988
308,-1.0644261
311,.44210189
314,1.1953659
316,.94427788
318,.69318988
321,.69318988
323,.94427788
324,
325,-.28142802
328,.94427788
329,.94427788
330,-.81333808
332,1.4464539
336,-.31116209
337,-.02580313
340,-.31116209
341,.69318988
342,
343,
344,
345,
346,-1.5666021
347,
348,
349,
350,
357,
358,
360,
361,
367,.69318988
369,-1.0644261
370,
372,-.31116209
375,1.4464539
376,
378,
380,-.56225009
381,
384,
385,-.56225009
386,.19101389
391,
392,1.1953659
393,-.31116209
394,.94427788
395,
396,.44210189
397,
398,
399,.19101389
401,-.0600741
404,-.31116209
405,.94427788
408,.94427788
410,-1.5666021
412,-.31116209
413,
418,
419,.94427788
420,
421,
422,
427,-.56225009
429,.44210189
430,
432,-1.5666021
434,-1.8176901
438,-.56225009
440,-.31116209
441,-1.6548468
443,
445,
446,
451,
454,.44210189
455,
456,.69318988
457,
458,
463,
466,-.56225009
471,-.77149008
475,-.81333808
476,
481,
482,-.0600741
483,1.4464539
485,
487,-2.068778
490,1.0211414
491,-.56225009
493,
495,
496,
500,.19101389
501,-1.5666021
502,.44210189
503,-.02580313
505,.94427788
506,1.1953659
508,-1.8992121
510,
511,-2.068778
513,
516,-1.6548468
517,
520,
521,
522,-.81333808
524,-.81333808
525,
526,
527,.94427788
536,-.81333808
537,-1.5666021
539,
543,-.31116209
544,.69318988
545,.69318988
546,1.1953659
547,.69318988
549,
550,1.4464539
551,1.1953659
552,.69318988
553,-1.0644261
554,-.31116209
555,.69318988
558,
561,.94427788
563,-1.0644261
564,.69318988
565,.19101389
567,-.81333808
568,1.0211414
569,-1.0644261
571,-1.8176901
572,.44210189
575,
576,.44210189
577,.44210189
578,-.81333808
580,.69318988
581,-.81333808
586,.44210189
588,-1.0644261
589,-1.5666021
590,.94427788
598,-.31116209
600,-1.3045103
603,-1.5666021
606,.94427788
608,.94427788
611,.69318988
612,1.4464539
613,.69318988
616,1.1953659
618,.69318988
619,-1.5666021
620,
621,
623,
625,
627,1.1953659
628,.94427788
630,.94427788
631,-.02580313
636,
638,1.1953659
640,.44210189
642,.44210189
643,.44210189
644,
645,
646,
647,-.28142802
648,-1.6548468
649,-.31116209
653,1.1953659
656,
657,
659,1.4464539
661,-.56225009
662,-1.0297608
663,
664,.94427788
665,
669,-.0600741
670,
671,
673,.94427788
678,-.77149008
680,-.0600741
683,-1.0297608
685,-.52788078
687,.94427788
688,-.77149008
690,
691,
692,
694,.69318988
695,
696,
697,
699,
701,-1.8992121
702,
706,-.0600741
711,.69318988
712,-1.0644261
714,
716,-.81333808
717,-1.8176901
718,
719,.94427788
720,1.1953659
722,1.4464539
723,.19101389
724,1.4464539
726,1.4464539
729,.19101389
731,1.1953659
737,.69318988
738,.69318988
743,1.1953659
744,.44210189
745,1.4464539
746,1.1953659
747,
750,-1.5666021
752,-.56225009
753,
754,.69318988
758,1.1953659
759,-.31116209
761,.19101389
763,1.1953659
764,-.52788078
765,.69318988
766,.44210189
768,.19101389
773,-1.0644261
775,
776,
779,
780,
781,
783,
784,
785,1.1953659
786,
787,
788,1.4464539
789,-.28142802
790,
792,
793,
794,1.1953659
798,1.1953659
799,
800,.44210189
803,
804,
805,-.0600741
806,-.52788078
808,-.31116209
810,-.0600741
817,-1.8992121
819,.69318988
820,-.02580313
823,
826,
827,.69318988
830,
831,.69318988
834,
836,
837,-2.068778
842,.69318988
843,1.1953659
845,.44210189
847,.94427788
852,-1.0644261
856,-.81333808
859,-.31116209
860,1.1953659
861,-.0600741
865,1.4464539
866,
867,
870,-1.5666021
872,.94427788
874,-1.5666021
877,
882,
884,.69318988
885,-.0600741
886,.19101389
889,
890,-.77149008
891,-1.5666021
893,.94427788
894,-.52788078
895,-.81333808
898,.94427788
900,.44210189
903,-.31116209
909,-1.6548468
911,.94427788
914,.28396471
917,
918,.28396471
921,
926,
927,
929,.94427788
936,.19101389
937,1.1953659
938,.69318988
940,1.4464539
942,1.1953659
943,.94427788
946,.69318988
953,.69318988
956,1.1953659
957,1.4464539
958,.69318988
959,-1.3155141
960,-.0600741
962,.94427788
963,1.1953659
968,
970,-.31116209
972,.28396471
973,.94427788
974,1.1953659
975,-.0600741
