ID,asvabWK_std
2,.38371327
5,
7,-2.0994749
9,
10,
12,
13,-.01665307
14,
16,.38371327
18,-1.7450063
19,.08343851
20,-1.6460185
21,-1.6460185
22,-1.1176605
24,-2.0994749
26,-1.1176605
27,-.79430976
30,.1835301
31,-1.3178437
35,.38371327
39,-1.7450063
42,-.24923779
44,-.71729417
46,
51,.98426278
52,.08343851
57,
58,-.79430976
60,-1.7450063
62,.98426278
64,.19375216
65,-1.6460185
66,
67,
68,
70,.58389644
71,
73,
74,
75,-2.6190343
76,-2.0994749
79,-.8972058
80,-1.7450063
82,-.01665307
83,-1.1176605
85,.58389644
87,.38371327
88,-1.6460185
89,.58389644
90,
92,-1.6460185
93,-1.1839329
95,.08343851
96,
97,.38371327
98,.08343851
99,
105,.8841712
106,.38371327
108,1.3846291
113,.8841712
116,
117,
118,
119,.58389644
120,
121,.8841712
122,1.2845375
123,
124,
126,-.41701942
131,1.123534
132,.8841712
133,.58389644
134,
135,1.3846291
138,.78407961
140,.9422665
143,.1835301
144,.05146116
145,.1835301
146,-1.1839329
150,-.517111
152,.48380486
154,1.4181158
155,1.0843544
156,.98426278
158,.9422665
161,-2.6190343
163,
165,.38371327
167,
168,-.41701942
172,1.3846291
174,
176,.98426278
180,.87216032
184,.48380486
185,-.97592507
187,.9422665
190,.8841712
191,.58389644
195,.58389644
196,
199,.78407961
200,
202,-.71729417
206,
209,
210,
212,-.517111
215,
218,
219,1.123534
220,.78407961
222,.78407961
223,1.0843544
225,.8841712
228,-1.4723601
230,.98426278
231,
232,.58389644
233,
237,.98426278
239,
242,.08343851
244,.38371327
246,1.0843544
247,.98426278
249,.1835301
250,.05146116
251,-.01665307
254,.38371327
256,
257,
258,-.31692783
259,.1835301
260,-1.1839329
261,-1.7450063
262,-2.6190343
263,.78407961
264,.58389644
265,-1.6460185
268,.38371327
275,
277,
278,.58389644
279,
280,
281,-.01665307
282,.05146116
283,.9422665
285,.08343851
287,-.55902977
294,.58389644
297,-.97592507
299,-.55902977
304,.8841712
308,.08343851
311,.48380486
314,1.2845375
316,.48380486
318,.38371327
321,.8841712
323,1.3846291
324,
325,.48380486
328,.38371327
329,.48380486
330,.08343851
332,1.4847207
336,.38371327
337,.8841712
340,-.97592507
