average,y79y,y79o
-0.540315,-0.50055,-0.58008
-0.181357,-0.32101,-0.041704
-0.28663,-999,-0.28663
-999,-999,-999
0.18525,0.18525,-999
0.14719,0.14719,-999
0.10823,0.10823,-999
0.1686305,0.089551,0.24771
0.070271,-0.021628,0.16217
0.0057905,0.023291,-0.01171
0.05814335,-0.0063433,0.12263
-0.1096425,0.032875,-0.25216
0.263835,0.17861,0.34906
0.280105,0.39272,0.16749
1.58543,0.92426,2.2466
-0.017195,0.23956,-0.27395
-0.796025,0.14555,-1.7376
0.35078,-0.0717,0.77326
-0.68633,-0.32866,-1.044
-0.238485,-0.30523,-0.17174
0.071192,0.040844,0.10154
-0.0362165,-0.017168,-0.055265
0.19583,0.17214,0.21952
0.0766205,0.027681,0.12556
-0.034879,-0.014279,-0.055479
0.274193,-0.055574,0.60396
0.15298,0.13115,0.17481
-0.121715,-0.10419,-0.13924
0.326275,0.30052,0.35203
0.0137575,0.057798,-0.030283
0.2343455,0.073571,0.39512
-999,-999,-999
-999,-999,-999
-999,-999,-999
0.388045,1.2197,-0.44361
-0.133915,0.5394,-0.80723
-0.197195,0.25482,-0.64921
0,0,0
-0.2820225,-0.077825,-0.48622
-0.24795,1.0702,-1.5661
-0.41045,1.0702,-1.8911
-3.2431,-2.0839,-4.4023
-0.374265,-0.23349,-0.51504
0,0,0
0.549105,0.45067,0.64754
0.1198315,0.22243,0.017233
0.369625,0.5729,0.16635
1.218105,0.76441,1.6718
0.3326035,0.74256,-0.077353
0.50108,0.58389,0.41827
1.297295,0.57509,2.0195
0.85161,0.19022,1.513
0.99459,0.17888,1.8103
0,0,0
-1.52225,-1.1518,-1.8927
-0.776155,0.34039,-1.8927
0.55877,-0.11396,1.2315
0.870035,0.50857,1.2315
-0.00765,-1.2468,1.2315
-1.07432,-0.23184,-1.9168
-2.4572,-0.3088,-4.6056
0,0,0
-0.075995,-0.15199,0
-0.54161,0.55748,-1.6407
-0.335685,0.66873,-1.3401
-0.894525,-0.44895,-1.3401
-0.894525,-0.44895,-1.3401
-0.894525,-0.44895,-1.3401
-0.034655,0.2515,-0.32081
-0.115545,0.13058,-0.36167
-0.094825,-0.1711,-0.01855
0,0,0
1.37188,0.56606,2.1777
1.151505,1.3882,0.91481
1.15125,1.2381,1.0644
0.8891,0.78852,0.98968
1.43819,1.8867,0.98968
-0.05525,-1.5164,1.4059
-0.418715,-0.57059,-0.26684
-0.03371,-0.21591,0.14849
-0.26938,-999,-0.26938
-999,-999,-999
0.12458,0.12458,-999
0.19545,0.19545,-999
0.23154,0.23154,-999
0.155968,0.018116,0.29382
0.260155,0.14401,0.3763
0.011991,0.025336,-0.001354
0.1380149,0.28025,-0.0042202
-0.151675,-0.13819,-0.16516
-0.257665,-0.27431,-0.24102
-0.1716575,0.095825,-0.43914
1.02715,0.6916,1.3627
0.33777,0.37869,0.29685
0.29414,0.4855,0.10278
0.829315,0.56813,1.0905
-0.207895,-0.24254,-0.17325
-0.075528,-0.013206,-0.13785
0.0171935,0.022491,0.011896
-0.018873,-0.019683,-0.018063
0.220475,0.10959,0.33136
0.021596,-0.019719,0.062911
-0.030588245,0.00010551,-0.061282
-0.1528,-0.10207,-0.20353
0.00071415,0.0108,-0.0093717
0.011356,-0.028323,0.051035
-0.0405055,0.044219,-0.12523
-0.0281785,-0.022474,-0.033883
0.112712,-0.045306,0.27073
-999,-999,-999
-999,-999,-999
-999,-999,-999
0.77079,1.4209,0.12068
0.40038,0.92514,-0.12438
0.11904,0.41379,-0.17571
0,0,0
-0.581235,-0.31186,-0.85061
-1.005965,0.14047,-2.1524
-1.2373,1.0471,-3.5217
-1.94435,-1.0351,-2.8536
-0.39148,-0.18126,-0.6017
0,0,0
0.46343,0.45799,0.46887
0.793515,0.54863,1.0384
0.1820065,0.41347,-0.049457
1.19655,0.3606,2.0325
0.164055,0.44109,-0.11298
0.1212615,-0.011987,0.25451
-2.7489,-2.6844,-2.8134
-1.3653,-1.5431,-1.1875
-0.15757,-0.85921,0.54407
0,0,0
-0.48509,-0.92453,-0.04565
-1.79015,-1.0392,-2.5411
-0.66988,-0.67372,-0.66604
-0.90747,-1.1489,-0.66604
-1.58922,-2.5124,-0.66604
-2.29485,-2.3515,-2.2382
-0.792595,-0.92783,-0.65736
0,0,0
0.781085,-0.84663,2.4088
-1.15648,-1.6746,-0.63836
-1.27565,-1.4734,-1.0779
-1.29785,-1.5006,-1.0951
-0.749209,-1.5006,0.002182
-0.749209,-1.5006,0.002182
-3.1022,-2.395,-3.8094
-2.86615,-2.0552,-3.6771
-1.265315,-0.93823,-1.5924
0,0,0
0.26888,0.12252,0.41524
0.56356,0.52042,0.6067
-0.034715,0.32358,-0.39301
0.309375,0.05241,0.56634
0.943085,0.99295,0.89322
6.5911,5.0458,8.1364
-0.80782,-0.75582,-0.85982
0.2832085,0.017817,0.5486
-0.13824,-999,-0.13824
-999,-999,-999
0.076513,0.076513,-999
0.38002,0.38002,-999
0.43279,0.43279,-999
0.05222,-0.14228,0.24672
0.2060205,-0.075899,0.48794
0.0516425,0.071942,0.031343
0.1664575,0.27648,0.056435
-0.19254,-0.03779,-0.34729
0.152296,-0.039298,0.34389
-0.05136,0.20438,-0.3071
0.83933,0.64276,1.0359
0.0571735,-0.043513,0.15786
0.34354,0.49171,0.19537
0.88679,0.60468,1.1689
-0.204962,-0.33913,-0.070794
-0.0987875,-0.075455,-0.12212
0.039484,0.025753,0.053215
-0.0435795,-0.03339,-0.053769
0.1641865,0.060943,0.26743
0.076401,0.029352,0.12345
-0.083254,-0.051208,-0.1153
-0.145113,-0.20659,-0.083636
-0.0225825,0.05447,-0.099635
-0.003572,-0.085353,0.078209
-0.03642,0.11878,-0.19162
0.1054305,0.1267,0.084161
0.07226,-0.12407,0.26859
-999,-999,-999
-999,-999,-999
-999,-999,-999
0.361645,1.1224,-0.39911
-0.018905,0.59692,-0.63473
0.010285,0.27037,-0.2498
0,0,0
-0.698175,-0.40101,-0.99534
-0.998565,-0.50503,-1.4921
-0.60935,1.5922,-2.8109
-2.10045,-1.081,-3.1199
-0.369585,-0.17591,-0.56326
0,0,0
0.185775,0.18306,0.18849
0.699945,0.53587,0.86402
-0.08863,0.39296,-0.57022
1.290385,0.72167,1.8591
0.278966,0.47323,0.084702
0.431035,0.53422,0.32785
-1.8778,-2.0627,-1.6929
-1.11615,-1.1879,-1.0444
0.112695,-0.67397,0.89936
0,0,0
-0.22249,-0.87575,0.43077
-1.5758,-1.0322,-2.1194
-0.677125,-0.80105,-0.5532
-1.0142,-1.4752,-0.5532
